Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Packet Length Range,First4Sum,Last4Sum,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT range,Flow Duration,Label
3.3.3.1 4.4.4.1 49659 1194 17,104,1410,4879,1306,2547,2332,31,1306,27.0,140723.0,140696.0,244179.0,instagram
4.4.4.1 3.3.3.1 1194 49659 17,104,1410,5033,1306,660,4373,0,1267,7.0,84846.0,84839.0,168403.0,instagram
3.3.3.2 4.4.4.2 49659 1194 17,104,1312,2569,1208,2036,533,0,1200,32.0,80549.0,80517.0,148239.0,instagram
4.4.4.2 3.3.3.2 1194 49659 17,104,1312,2580,1208,1856,724,56,1200,62.0,74338.0,74276.0,110617.0,instagram
3.3.3.3 4.4.4.3 1194 49659 17,112,1312,4720,1200,2864,1856,0,1200,4.0,1874971.0,1874967.0,2784278.0,instagram
4.4.4.3 3.3.3.3 49659 1194 17,104,1312,4364,1208,2724,1640,0,1208,84.0,1868656.0,1868572.0,2666404.0,instagram
3.3.3.4 4.4.4.4 49659 1194 17,104,1312,3512,1208,1476,2036,0,1200,855.0,1077820.0,1076965.0,2236610.0,instagram
4.4.4.4 3.3.3.4 1194 49659 17,104,1312,4905,1208,4048,857,0,1200,64.0,1428170.0,1428106.0,1499991.0,instagram
3.3.3.5 4.4.4.5 49659 1194 17,104,1312,2577,1208,2036,541,4,1200,132.0,47088.0,46956.0,116848.0,instagram
4.4.4.5 3.3.3.5 1194 49659 17,104,1312,2580,1208,1856,724,56,1200,17.0,37508.0,37491.0,99688.0,instagram
3.3.3.6 4.4.4.6 49659 1194 17,104,1312,3776,1208,2036,1740,4,1200,39.0,47923.0,47884.0,118886.0,instagram
4.4.4.6 3.3.3.6 1194 49659 17,104,1312,2580,1208,1856,724,56,1200,70.0,44563.0,44493.0,90744.0,instagram
3.3.3.7 4.4.4.7 49659 1194 17,113,1406,3271,1293,2729,542,0,1205,24.0,1363982.0,1363958.0,1876771.0,instagram
4.4.4.7 3.3.3.7 1194 49659 17,102,1406,3476,1304,1366,2110,0,1304,56.0,1177352.0,1177296.0,2069104.0,instagram
3.3.3.8 4.4.4.8 49659 1194 17,104,1312,3753,1208,2816,937,5,1200,409.0,1008735.0,1008326.0,1391084.0,instagram
4.4.4.8 3.3.3.8 1194 49659 17,104,1312,2498,1208,1641,857,2,1202,10.0,1278376.0,1278366.0,1341565.0,instagram
3.3.3.9 4.4.4.9 51106 1194 17,104,1410,5022,1306,2502,2520,0,1306,29.0,96294.0,96265.0,193527.0,instagram
4.4.4.9 3.3.3.9 1194 51106 17,104,1410,3727,1306,660,3067,0,1306,39.0,80650.0,80611.0,126255.0,instagram
3.3.3.10 4.4.4.10 51106 1194 17,104,1312,2577,1208,1641,936,4,1200,32.0,1889530.0,1889498.0,2019955.0,instagram
4.4.4.10 3.3.3.10 1194 51106 17,104,1312,2563,1208,1801,762,7,1200,8.0,1896318.0,1896310.0,1962541.0,instagram
3.3.3.11 4.4.4.11 51106 1194 17,104,1312,4938,1208,1641,3297,8,1208,28.0,1247374.0,1247346.0,1406563.0,instagram
4.4.4.11 3.3.3.11 1194 51106 17,106,1312,3708,1206,1803,1905,6,1200,40.0,1213424.0,1213384.0,1350431.0,instagram
3.3.3.12 4.4.4.12 51106 1194 17,104,1312,3686,1208,2849,837,8,1200,35.0,152701.0,152666.0,244156.0,instagram
4.4.4.12 3.3.3.12 1194 51106 17,112,1312,3715,1200,1857,1858,47,1200,22.0,7169.0,7147.0,11752.0,instagram
3.3.3.13 4.4.4.13 51106 1194 17,104,1312,3721,1208,2036,1685,0,1208,39.0,70492.0,70453.0,146304.0,instagram
4.4.4.13 3.3.3.13 1194 51106 17,104,1312,3771,1208,1857,1914,56,1200,10.0,48083.0,48073.0,102159.0,instagram
3.3.3.14 4.4.4.14 42190 1194 17,104,1332,3551,1228,1879,1672,8,1220,998.0,54223.0,53225.0,124764.0,instagram
4.4.4.14 3.3.3.14 1194 42190 17,104,1381,6850,1277,4048,2802,0,1277,0.0,32786.0,32786.0,80594.0,instagram
3.3.3.15 4.4.4.15 1194 42190 17,104,407,1499,303,688,811,0,303,0.0,64133.0,64133.0,131328.0,instagram
4.4.4.15 3.3.3.15 42190 1194 17,104,1381,5399,1277,1141,4258,12,1185,30.0,59281.0,59251.0,76593.0,instagram
3.3.3.16 4.4.4.16 42190 1194 17,104,621,1421,517,941,480,0,517,11.0,191409.0,191398.0,437505.0,instagram
4.4.4.16 3.3.3.16 1194 42190 17,104,1381,6165,1277,2978,3187,0,1277,0.0,260591.0,260591.0,447889.0,instagram
3.3.3.17 4.4.4.17 42190 1194 17,104,1332,3723,1228,1670,2053,0,1228,263.0,870315.0,870052.0,1666666.0,instagram
4.4.4.17 3.3.3.17 1194 42190 17,104,1312,2296,1208,1632,664,0,1200,0.0,848664.0,848664.0,1612802.0,instagram
3.3.3.18 4.4.4.18 42190 1194 17,92,1332,3681,1240,2061,1620,0,1240,12.0,49628.0,49616.0,145972.0,instagram
4.4.4.18 3.3.3.18 1194 42190 17,104,1312,2556,1208,1880,676,15,1200,0.0,61910.0,61910.0,102344.0,instagram
3.3.3.19 4.4.4.19 42190 1194 17,92,1332,3681,1240,2061,1620,0,1240,10.0,55347.0,55337.0,149605.0,instagram
4.4.4.19 3.3.3.19 1194 42190 17,104,1312,3749,1208,1880,1869,56,1208,0.0,54161.0,54161.0,109422.0,instagram
3.3.3.20 4.4.4.20 42190 1194 17,104,1332,4933,1228,2061,2872,8,1228,394.0,58914.0,58520.0,162942.0,instagram
4.4.4.20 3.3.3.20 1194 42190 17,104,1312,2323,1208,1880,443,0,1200,0.0,59310.0,59310.0,104826.0,instagram
3.3.3.21 4.4.4.21 1194 42190 17,104,1312,2327,1208,455,1872,0,1200,0.0,1544846.0,1544846.0,1938590.0,instagram
