Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT Range,Flow Duration,Packet Length Range,First4Sum,Last4Sum,Label
3.3.3.1 4.4.4.1 49659 1194 17,104,1410,4879,31,1306,27,140723,140696,244179000,1306,2547,2332,multimedia_apps
4.4.4.1 3.3.3.1 1194 49659 17,104,1410,5033,0,1267,7,84846,84839,168403000,1306,660,4373,multimedia_apps
3.3.3.2 4.4.4.2 49659 1194 17,104,1312,2569,0,1200,32,80549,80517,148239000,1208,2036,533,multimedia_apps
4.4.4.2 3.3.3.2 1194 49659 17,104,1312,2580,56,1200,62,74338,74276,110617000,1208,1856,724,multimedia_apps
3.3.3.3 4.4.4.3 1194 49659 17,112,1312,4720,0,1200,4,1874971,1874967,2784278000,1200,2864,1856,multimedia_apps
4.4.4.3 3.3.3.3 49659 1194 17,104,1312,4364,0,1208,84,1868656,1868572,2666404000,1208,2724,1640,multimedia_apps
3.3.3.4 4.4.4.4 49659 1194 17,104,1312,3512,0,1200,855,1077820,1076965,2236610000,1208,1476,2036,multimedia_apps
4.4.4.4 3.3.3.4 1194 49659 17,104,1312,4905,0,1200,64,1428170,1428106,1499991000,1208,4048,857,multimedia_apps
3.3.3.5 4.4.4.5 49659 1194 17,104,1312,2577,4,1200,132,47088,46956,116848000,1208,2036,541,multimedia_apps
4.4.4.5 3.3.3.5 1194 49659 17,104,1312,2580,56,1200,17,37508,37491,99688000,1208,1856,724,multimedia_apps
3.3.3.6 4.4.4.6 49659 1194 17,104,1312,3776,4,1200,39,47923,47884,118886000,1208,2036,1740,multimedia_apps
4.4.4.6 3.3.3.6 1194 49659 17,104,1312,2580,56,1200,70,44563,44493,90744000,1208,1856,724,multimedia_apps
3.3.3.7 4.4.4.7 49659 1194 17,113,1406,3271,0,1205,24,1363982,1363958,1876771000,1293,2729,542,multimedia_apps
4.4.4.7 3.3.3.7 1194 49659 17,102,1406,3476,0,1304,56,1177352,1177296,2069104000,1304,1366,2110,multimedia_apps
3.3.3.8 4.4.4.8 49659 1194 17,104,1312,3753,5,1200,409,1008735,1008326,1391084000,1208,2816,937,multimedia_apps
4.4.4.8 3.3.3.8 1194 49659 17,104,1312,2498,2,1202,10,1278376,1278366,1341565000,1208,1641,857,multimedia_apps
3.3.3.9 4.4.4.9 51106 1194 17,104,1410,5022,0,1306,29,96294,96265,193527000,1306,2502,2520,multimedia_apps
4.4.4.9 3.3.3.9 1194 51106 17,104,1410,3727,0,1306,39,80650,80611,126255000,1306,660,3067,multimedia_apps
3.3.3.10 4.4.4.10 51106 1194 17,104,1312,2577,4,1200,32,1889530,1889498,2019955000,1208,1641,936,multimedia_apps
4.4.4.10 3.3.3.10 1194 51106 17,104,1312,2563,7,1200,8,1896318,1896310,1962541000,1208,1801,762,multimedia_apps
