match 0x0/0xffffffff priority 1 action SetCode0 code0 0x0 code1 0x0 code2 0x0
match 0x1/0xffffffff priority 2 action SetCode0 code0 0x70 code1 0xc0 code2 0x18
match 0x2/0xffffffff priority 3 action SetCode0 code0 0x70 code1 0xc0 code2 0x18
match 0x3/0xffffffff priority 4 action SetCode0 code0 0x7c code1 0xc0 code2 0x18
match 0x4/0xfffffffc priority 5 action SetCode0 code0 0x7c code1 0xe0 code2 0x18
match 0x8/0xfffffffc priority 6 action SetCode0 code0 0x7c code1 0xe0 code2 0x18
match 0xc/0xffffffff priority 7 action SetCode0 code0 0x7c code1 0xe0 code2 0x18
match 0xd/0xffffffff priority 8 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0xe/0xfffffffe priority 9 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0x10/0xfffffff0 priority 10 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0x20/0xfffffff8 priority 11 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0x28/0xfffffffc priority 12 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0x2c/0xffffffff priority 13 action SetCode0 code0 0x7c code1 0xe0 code2 0x1c
match 0x2d/0xffffffff priority 14 action SetCode0 code0 0x7c code1 0xf0 code2 0x1c
match 0x2e/0xfffffffe priority 15 action SetCode0 code0 0x7c code1 0xf0 code2 0x1c
match 0x30/0xffffffff priority 16 action SetCode0 code0 0x7c code1 0xf0 code2 0x1c
match 0x30/0xffffffff priority 17 action SetCode0 code0 0x7c code1 0xf0 code2 0x1c
match 0x31/0xffffffff priority 18 action SetCode0 code0 0x7e code1 0xf8 code2 0x1c
match 0x32/0xffffffff priority 19 action SetCode0 code0 0x7e code1 0xfc code2 0x1c
match 0x33/0xffffffff priority 20 action SetCode0 code0 0x7f code1 0xfe code2 0x1c
match 0x34/0xfffffffc priority 21 action SetCode0 code0 0x7f code1 0xfe code2 0x1c
