Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
10.0.2.16 162.159.128.233 52640 443,839485216,839488923,839488998,839489032,839489071,839489093,,,52640,0x588e,1,26,34,22,,3682,3708
162.159.128.233 10.0.2.16 443 52640,839512344,839512349,839512429,839512443,839512478,839512492,,,443,0x57ab,1,74,14,14,,3483,3557
162.159.135.234 10.0.2.16 443 59874,839512426,839512573,839512655,839512673,839512702,839512723,,,443,0x1884,1,13,18,21,,15602,15615
10.0.2.16 162.159.135.234 59874 443,839512575,839512578,839512663,839512673,839512710,839512725,,,59874,0x4c06,1,11,10,15,,15223,15234
162.159.130.234 10.0.2.16 443 45518,839512581,839512584,839512667,839512673,839512717,839512725,,,443,0x1ed9,1,94,6,8,,10143,10237
10.0.2.16 162.159.130.234 45518 443,839513132,839513136,839513208,839513213,839513241,839513246,,,45518,0x2017,1,112,5,5,,9423,9535
10.0.2.16 162.159.135.234 46750 443,839581226,839581256,839581277,839581284,839581310,839581318,,,46750,0x43bd,1,85,7,8,,2441,2526
10.0.2.16 162.159.128.233 34522 443,839581583,839581614,839581637,839581644,839581670,839581678,,,34522,0x1cd7,1,13,7,8,,2827,2840
162.159.128.233 10.0.2.16 443 34522,839582245,839582248,839582326,839582333,839582358,839582365,,,443,0x46fd,1,34,7,7,,2626,2660
10.0.2.16 162.159.138.232 46528 443,839582437,839582456,839582513,839582518,839582541,839582549,,,46528,0x7284,1,104,5,8,,2648,2752
162.159.138.232 10.0.2.16 443 46528,839583966,839584088,839584167,839584171,839584194,839584199,,,443,0x56e0,1,29,4,5,,2257,2286
10.0.2.16 162.159.135.234 58678 443,839584478,839584481,839584558,839584563,839584586,839584591,,,58678,0x40cf,1,42,5,5,,13865,13907
10.0.2.16 162.159.138.232 48838 443,839697224,839697228,839697304,839697309,839697329,839697332,,,48838,0x1e40,1,3,5,3,,2405,2408
162.159.138.232 10.0.2.16 443 48838,839699635,839699670,839699687,839699692,839699712,839699716,,,443,0x2ce9,1,3,5,4,,2404,2407
162.159.135.234 10.0.2.16 443 35686,839700116,839700152,839700192,839700199,839700219,839700229,,,443,0x6034,1,53,7,10,,11950,12003
10.0.2.16 162.159.135.232 53780 443,839745305,839745311,839745388,839745399,839745418,839745428,,,53780,0x6f7c,1,41,11,10,,10936,10977
162.159.130.234 10.0.2.16 443 33200,839745657,839745661,839745736,839745745,839745763,839745773,,,443,0x1165,1,36,9,10,,2510,2546
