Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
2.2.2.166 1.1.1.166 1194 44569,150676573,150736024,150736031,150736053,,,150736125,150736144,1194,0x7012,0,59506,1,22,,19,59464,42
2.2.2.168 1.1.1.168 1194 44569,156312598,156605686,156605759,156605774,,,156605842,156605857,1194,0x233a,0,293321,13,15,,15,293278,43
1.1.1.169 2.2.2.169 44569 1194,157661434,157716690,157716762,157716776,,,157716841,157716856,44569,0x448c,0,55348,36,14,,15,55283,65
2.2.2.169 1.1.1.169 1194 44569,158773344,158891161,158891233,158891248,,,158891313,158891328,1194,0x0a2d,0,117893,10,15,,15,117853,40
1.1.1.170 2.2.2.170 44569 1194,159952406,160163659,160163732,160163748,,,160163813,160163829,44569,0x3fb5,0,211480,30,16,,16,211418,62
1.1.1.172 2.2.2.172 44991 1194,164690071,165737401,165737455,165737475,,,165737536,165737554,44991,0x628e,0,1048314,11,20,,18,1048265,49
1.1.1.173 2.2.2.173 44991 1194,168884306,168998997,168999007,168999022,,,168999082,168999097,44991,0x4b99,0,114778,11,15,,15,114737,41
2.2.2.173 1.1.1.173 1194 44991,170060260,170178942,170179017,170179035,,,170179095,170179111,1194,0x134a,0,118803,28,18,,16,118741,62
1.1.1.174 2.2.2.174 44991 1194,171244268,171310256,171310322,171310337,,,171310397,171310412,44991,0x30a0,0,66108,15,15,,15,66063,45
2.2.2.174 1.1.1.174 1194 44991,172372309,172451624,172451645,172451660,,,172451720,172451734,1194,0x6873,0,79466,14,15,,14,79423,43
2.2.2.175 1.1.1.175 1194 44991,174654193,174755096,174755169,174755181,,,174755241,174755255,1194,0x4164,0,100952,36,12,,14,100890,62
1.1.1.176 2.2.2.176 44991 1194,175817163,176020996,176021053,176021066,,,176021125,176021140,44991,0x322f,0,204004,22,13,,15,203954,50
2.2.2.176 1.1.1.176 1194 44991,177079982,177220689,177220724,177220739,,,177220798,177220813,1194,0x6afc,0,140848,24,15,,15,140794,54
2.2.2.177 1.1.1.177 1194 44991,179437996,179553872,179553945,179553960,,,179554018,179554033,1194,0x43eb,0,115997,27,15,,15,115940,57
1.1.1.178 2.2.2.178 44991 1194,180615885,180714906,180714956,180714971,,,180715029,180715043,44991,0x6001,0,99127,33,15,,14,99065,62
2.2.2.178 1.1.1.178 1194 44991,181772859,181853664,181853736,181853751,,,181853809,181853822,1194,0x38d2,0,80866,16,15,,13,80822,44
1.1.1.179 2.2.2.179 44991 1194,182912856,183474991,183475005,183475022,,,183475079,183475093,44991,0x4916,0,562693,46,17,,14,562616,77
