Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
5.5.5.162 6.6.6.162 47066 1194,141565045,141828741,141828754,141828793,,,141828868,141828892,47066,0x6b8a,2,264009,25,39,,24,263921,88
6.6.6.162 5.5.5.162 1194 47066,141889558,142151561,142151634,142151649,,,142151721,142151734,1194,0x633c,2,262258,70,15,,13,262160,98
6.6.6.164 5.5.5.164 47066 1194,144669983,145722307,145722312,145722337,,,145722406,145722426,47066,0x7dfa,2,1053265,56,25,,20,1053164,101
5.5.5.165 6.6.6.165 47066 1194,145779027,146211369,146211442,146211467,,,146211535,146211555,47066,0x421e,2,432736,188,25,,20,432503,233
6.6.6.165 5.5.5.165 1194 47066,146272567,146605463,146605536,146605547,,,146605610,146605621,1194,0x4aa8,2,333153,73,11,,11,333058,95
5.5.5.166 6.6.6.166 47066 1194,146665193,146981057,146981131,146981151,,,146981214,146981232,47066,0x3927,2,316141,59,20,,18,316044,97
5.5.5.167 6.6.6.167 47066 1194,147482535,147875712,147875785,147875803,,,147875867,147875884,47066,0x1030,2,393551,10,18,,17,393506,45
6.6.6.167 5.5.5.167 1194 47066,147938081,148183178,148183185,148183195,,,148183257,148183269,1194,0x1886,2,245327,39,10,,12,245266,61
5.5.5.168 6.6.6.168 47066 1194,148240810,148478365,148478433,148478443,,,148478504,148478514,47066,0x6a0f,2,237804,39,10,,10,237745,59
6.6.6.169 5.5.5.169 1194 47066,150051301,150352906,150352979,150352992,,,150353052,150353066,1194,0x4bae,2,301844,44,13,,14,301773,71
5.5.5.170 6.6.6.170 47066 1194,150411904,150827698,150827771,150827788,,,150827849,150827864,47066,0x3821,2,416211,24,17,,15,416155,56
6.6.6.170 5.5.5.170 1194 47066,150884441,151266563,151266636,151266647,,,151266706,151266718,1194,0x3097,2,382404,35,11,,12,382346,58
6.6.6.171 5.5.5.171 47066 1194,152049380,152724853,152724920,152724936,,,152724996,152725011,47066,0x07c5,2,676078,22,16,,15,676025,53
5.5.5.172 6.6.6.172 47066 1194,152782752,153211157,153211217,153211228,,,153211287,153211300,47066,0x38a2,2,428790,35,11,,13,428731,59
6.6.6.172 5.5.5.172 1194 47066,153268364,153699970,153700042,153700056,,,153700114,153700127,1194,0x3014,2,431999,40,14,,13,431932,67
6.6.6.173 5.5.5.173 1194 47066,154209439,154627485,154627558,154627565,,,154627622,154627633,1194,0x1903,2,418347,36,7,,11,418293,54
5.5.5.174 6.6.6.174 47066 1194,154684057,154986748,154986821,154986833,,,154986891,154986902,47066,0x6a8c,2,302911,40,12,,11,302848,63
6.6.6.174 5.5.5.174 1194 47066,155044764,155352969,155353041,155353051,,,155353108,155353119,1194,0x623a,2,308493,90,10,,11,308382,111
5.5.5.175 6.6.6.175 47066 1194,155408435,155775389,155775428,155775440,,,155775498,155775510,47066,0x439b,2,367312,32,12,,12,367256,56
5.5.5.176 6.6.6.176 47066 1194,156310716,156626539,156626566,156626575,,,156626632,156626645,47066,0x6803,2,316182,31,9,,13,316129,53
6.6.6.176 5.5.5.176 1194 47066,156684298,156967147,156967160,156967172,,,156967230,156967241,1194,0x60b5,2,283104,32,12,,11,283049,55
5.5.5.177 6.6.6.177 47066 1194,157023969,157263675,157263747,157263758,,,157263815,157263825,47066,0x4114,2,239872,34,11,,10,239817,55
6.6.6.177 5.5.5.177 1194 47066,157322735,157570957,157570966,157570973,,,157571030,157571039,1194,0x49a2,2,248456,41,7,,9,248399,57
5.5.5.178 6.6.6.178 47066 1194,157634396,158021015,158021088,158021102,,,158021160,158021169,47066,0x3a2d,2,386916,27,14,,9,386866,50
6.6.6.178 5.5.5.178 1194 47066,158080136,158461933,158461992,158462005,,,158462062,158462073,1194,0x329b,2,382217,33,13,,11,382160,57
6.6.6.179 5.5.5.179 1194 47066,159690612,160022716,160022789,160022805,,,160022863,160022876,1194,0x1b8c,2,332418,44,16,,13,332345,73
6.6.6.180 5.5.5.180 1194 47066,160476931,160940168,160940188,160940203,,,160940261,160940274,1194,0x3218,2,463690,60,15,,13,463602,88
6.6.6.182 5.5.5.182 1194 41275,165758235,166102145,166102149,166102161,,,166102218,166102230,1194,0x0739,2,344280,53,12,,12,344203,77
5.5.5.183 6.6.6.183 41275 1194,166166847,166709952,166709976,166709990,,,166710049,166710062,41275,0x62e1,2,543633,25,14,,13,543581,52
6.6.6.183 5.5.5.183 1194 41275,166766292,167175564,167175611,167175621,,,167175678,167175687,1194,0x2e2e,2,409642,61,10,,9,409562,80
5.5.5.184 6.6.6.184 41275 1194,167233903,167648336,167648408,167648419,,,167648477,167648488,41275,0x18de,2,414828,31,11,,11,414775,53
5.5.5.185 6.6.6.185 41275 1194,168164018,168644342,168644414,168644428,,,168644486,168644497,41275,0x31c9,2,480680,20,14,,11,480635,45
6.6.6.185 5.5.5.185 1194 41275,168699569,169016417,169016489,169016500,,,169016557,169016567,1194,0x7d06,2,317084,77,11,,10,316986,98
5.5.5.186 6.6.6.186 41275 1194,169076200,169500797,169500839,169500850,,,169500907,169500917,41275,0x4af0,2,424977,27,11,,10,424929,48
5.5.5.187 6.6.6.187 41275 1194,170035412,170491485,170491557,170491568,,,170491625,170491637,41275,0x63e7,2,456476,28,11,,12,456425,51
6.6.6.187 5.5.5.187 1194 41275,170548967,170972437,170972441,170972455,,,170972512,170972524,1194,0x2f28,2,423892,68,14,,12,423798,94
5.5.5.188 6.6.6.188 41275 1194,171031549,171116138,171116210,171116218,,,171116273,171116284,41275,0x4a73,2,84694,25,8,,11,84650,44
6.6.6.189 5.5.5.189 1194 41275,171621976,172023681,172023731,172023746,,,172023802,172023813,1194,0x2fab,2,402069,68,15,,11,401975,94
5.5.5.190 6.6.6.190 41275 1194,172087534,172534847,172534919,172534932,,,172534988,172534999,41275,0x185d,2,447669,25,13,,11,447620,49
6.6.6.190 5.5.5.190 1194 41275,172600096,173008798,173008805,173008820,,,173008876,173008889,1194,0x5492,2,409064,74,15,,13,408962,102
5.5.5.191 6.6.6.191 46033 1194,173066746,173736127,173736165,173736181,,,173736237,173736252,46033,0x5cf9,2,670026,20,16,,15,669975,51
5.5.5.192 6.6.6.192 46033 1194,174278626,174520521,174520594,174520602,,,174520657,174520668,46033,0x09a0,2,242112,33,8,,11,242060,52
6.6.6.192 5.5.5.192 1194 46033,174580326,174811635,174811662,174811673,,,174811729,174811740,1194,0x33ed,2,231524,36,11,,11,231466,58
