Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
31.13.80.8 10.0.2.16 443 50610,390242511,390242546,390242548,390242555,390242585,390242593,,,443,0x59ba,5,85,7,8,,2327,2412
10.0.2.16 31.13.80.8 45178 443,390242667,390243033,390243082,390243086,390243114,390243119,,,45178,0x7b54,5,126,4,5,,10479,10605
31.13.80.34 10.0.2.16 443 58236,390249168,390251728,390251731,390251734,390251759,390251764,,,443,0x51cc,5,80,3,5,,2571,2651
10.0.2.16 31.13.80.34 58236 443,390264676,390264680,390264758,390264766,390264790,390264800,,,58236,0x4f0b,5,61,8,10,,2188,2249
10.0.2.16 31.13.80.34 57396 443,390375195,390375200,390375274,390375284,390375309,390375319,,,57396,0x3379,5,57,10,10,,2337,2394
10.0.2.16 31.13.80.8 50728 443,390376590,390376715,390376793,390376802,390376826,390376839,,,50728,0x465f,5,13,9,13,,3733,3746
31.13.80.8 10.0.2.16 443 50728,390376726,390376780,390376799,390376803,390376835,390376840,,,443,0x5260,5,29,4,5,,3906,3935
10.0.2.16 31.13.80.8 35562 443,390377992,390378116,390378196,390378203,390378226,390378233,,,35562,0x6900,5,86,7,7,,11309,11395
10.0.2.16 31.13.80.8 46284 443,390378832,390383447,390383519,390383523,390383544,390383551,,,46284,0x21b5,5,13,4,7,,4508,4521
31.13.80.8 10.0.2.16 443 46284,390389975,390389978,390390051,390390054,390390075,390390079,,,443,0x48b9,5,20,3,4,,4644,4664
31.13.80.34 10.0.2.16 443 45690,390395977,390401813,390401884,390401888,390401907,390401913,,,443,0x592e,5,21,4,6,,5755,5776
10.0.2.16 31.13.80.34 45690 443,390603117,390603169,390603196,390603207,390603228,390603242,,,45690,0x3254,5,68,11,14,,5342,5410
31.13.80.34 10.0.2.16 443 53634,390607574,390607577,390607654,390607658,390607676,390607680,,,443,0x547e,5,36,4,4,,4676,4712
10.0.2.16 31.13.80.8 46218 443,390608699,390614953,390614985,390614992,390615011,390615021,,,46218,0x6c20,5,22,7,10,,6231,6253
31.13.80.8 10.0.2.16 443 46218,390620822,390620826,390620900,390620904,390620922,390620926,,,443,0x5f8f,5,15,4,4,,6526,6541
31.13.80.34 10.0.2.16 443 49738,390621047,390628116,390628188,390628193,390628211,390628221,,,443,0x1fa0,5,16,5,10,,17770,17786
10.0.2.16 31.13.80.8 57714 443,390760975,390760992,390761052,390761059,390761077,390761085,,,57714,0x779f,5,42,7,8,,10418,10460
