Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
13.248.212.111 10.0.2.16 443 43732,693839780,693854492,693854519,693854524,693854553,693854560,,,443,0x5f81,3,76,5,7,,14510,14586,,,,,,
13.248.212.111 10.0.2.16 443 33390,693844985,693862497,693862569,693862573,693862600,693862609,,,443,0x12bc,3,39,4,9,,17288,17327,,,,,,
13.248.212.111 10.0.2.16 443 39238,693898597,693911397,693911469,693911481,693911508,693911519,,,443,0x5e52,3,68,12,11,,12579,12647,,,,,,
10.0.2.16 13.248.212.111 39238 443,693898218,693911752,693911824,693911828,693911852,693911859,,,39238,0x13b9,3,59,4,7,,13398,13457,,,,,,
13.248.212.111 10.0.2.16 443 39550,693900073,693919347,693919420,693919423,693919446,693919451,,,443,0x7c9d,3,36,3,5,,19005,19041,,,,,,161
10.0.2.16 13.248.212.111 39550 443,693899704,693919704,693919755,693919757,693919779,693919783,,,39550,0x159a,3,52,2,4,,19785,19837,,,,,,
10.0.2.16 13.248.212.111 39236 443,693908598,693925433,693925443,693925449,693925470,693925478,,,39236,0x3038,3,9,6,8,,16684,16693,,,,,,
13.248.212.111 10.0.2.16 443 54482,694161111,694179069,694179141,694179145,694179165,694179173,,,443,0x6599,3,90,4,8,,17678,17768,,,,,,
10.0.2.16 13.248.212.111 54496 443,694159671,694181974,694182046,694182049,694182069,694182074,,,54496,0x5407,3,23,3,5,,21975,21998,,,,,,
10.0.2.16 13.248.212.111 54482 443,694161590,694190497,694190542,694190549,694190570,694190579,,,54482,0x5230,3,12,7,9,,28630,28642,,,,,,
13.248.212.111 10.0.2.16 443 38450,694223489,694235969,694236042,694236048,694236067,694236075,,,443,0x572d,3,21,6,8,,12278,12299,,,,,,
13.248.212.111 10.0.2.16 443 38436,694232955,694247521,694247538,694247540,694247559,694247566,,,443,0x779e,3,21,2,7,,14414,14435,,,,,,
13.248.212.111 10.0.2.16 443 47108,694496760,694508928,694509000,694509005,694509024,694509033,,,443,0x2565,3,29,5,9,,12000,12029,,,,,,
13.248.212.111 10.0.2.16 443 58194,694504131,694521894,694521907,694521911,694521929,694521936,,,443,0x323a,3,52,4,7,,17521,17573,,,,,,
13.248.212.111 10.0.2.16 443 58200,694503059,694522961,694523033,694523037,694523055,694523061,,,443,0x416c,3,12,4,6,,19595,19607,,,,,,
13.248.212.111 10.0.2.16 443 45344,694571782,694594029,694594102,694594104,694594123,694594129,,,443,0x7c77,3,17,2,6,,21951,21968,,,,,,
10.0.2.16 76.223.92.165 58668 443,695127326,695141973,695142046,695142052,695142070,695142083,,,58668,0x3b6d,3,85,6,13,,14406,14491,,,,,,
76.223.92.165 10.0.2.16 443 37822,695130134,695149287,695149359,695149365,695149384,695149394,,,443,0x1d9a,3,16,6,10,,18888,18904,,,,,,
76.223.92.165 10.0.2.16 443 37834,695129178,695150267,695150330,695150334,695150351,695150358,,,443,0x28c1,3,40,4,7,,20906,20946,,,,,,
10.0.2.16 76.223.92.165 37834 443,695128731,695150741,695150815,695150819,695150837,695150842,,,37834,0x5b1c,3,34,4,5,,21656,21690,,,,,,
13.248.212.111 10.0.2.16 443 53294,695137937,695153467,695153539,695153541,695153560,695153565,,,443,0x7e9c,3,9,2,5,,15350,15359,,,,,,
10.0.2.16 76.223.92.165 37822 443,695130778,695157432,695157504,695157509,695157527,695157532,,,37822,0x10be,3,84,5,5,,26309,26393,,,,,,
76.223.92.165 10.0.2.16 443 40972,695380476,695393593,695393668,695393686,695393706,695393723,,,443,0x7f4b,3,36,18,17,,13039,13075,,,,,,
10.0.2.16 76.223.92.165 40972 443,695380008,695393951,695394023,695394029,695394047,695394055,,,40972,0x195b,3,30,6,8,,13829,13859,,,,,,
76.223.92.165 10.0.2.16 443 40960,695390339,695405526,695405599,695405605,695405623,695405634,,,443,0x5d2f,3,13,6,11,,15031,15044,,,,,,
10.0.2.16 76.223.92.165 40960 443,695390754,695407667,695407686,695407693,695407711,695407717,,,40960,0x4b4e,3,23,7,6,,16805,16828,,,,,,
76.223.92.165 10.0.2.16 443 35992,695614336,695627001,695627074,695627087,695627106,695627118,,,443,0x54e1,3,28,13,12,,12525,12553,,,,,,
10.0.2.16 76.223.92.165 35992 443,695613922,695627401,695627417,695627422,695627440,695627448,,,35992,0x3161,3,66,5,8,,13320,13386,,,,,,
76.223.92.165 10.0.2.16 443 53528,695616867,695634320,695634393,695634397,695634414,695634423,,,443,0x3818,3,25,4,9,,17323,17348,,,,,,
76.223.92.165 10.0.2.16 443 53532,695615760,695635441,695635514,695635517,695635535,695635539,,,443,0x59c4,3,20,3,4,,19436,19456,,,,,,
10.0.2.16 76.223.92.165 53532 443,695615352,695635957,695635997,695636000,695636018,695636023,,,53532,0x3c5f,3,0,3,5,,20392,20392,,,,,,
76.223.92.165 10.0.2.16 443 40190,695691354,695706690,695706698,695706701,695706719,695706727,,,443,0x67ba,3,146,3,8,,15137,15283,,,,,,
10.0.2.16 76.223.92.165 40190 443,695691738,695710247,695710323,695710329,695710347,695710353,,,40190,0x15f5,3,20,6,6,,18211,18231,,,,,,
76.223.92.165 10.0.2.16 443 36426,695789603,695802507,695802567,695802576,695802594,695802604,,,443,0x5984,3,91,9,10,,12718,12809,,,,,,
10.0.2.16 76.223.92.165 36426 443,695789263,695802881,695802901,695802905,695802923,695802930,,,36426,0x6708,3,33,4,7,,13488,13521,,,,,,
76.223.92.165 10.0.2.16 443 34326,695788859,695808816,695808882,695808886,695808904,695808910,,,443,0x14aa,3,123,4,6,,19664,19787,,,,,,
10.0.2.16 76.223.92.165 34328 443,695790682,695811183,695811255,695811258,695811276,695811281,,,34328,0x1496,3,94,3,5,,20135,20229,,,,,,
10.0.2.16 76.223.92.165 34326 443,695788476,695825564,695825598,695825603,695825621,695825626,,,34326,0x6502,3,43,5,5,,36566,36609,,,,,,
13.248.212.111 10.0.2.16 443 58706,696011904,696032100,696032172,696032176,696032194,696032203,,,443,0x55d2,3,44,4,9,,19898,19942,,,,,,
