Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
7.7.7.172 8.8.8.172 41309 1194,802427095,802659277,802659348,802659374,,,802659433,802659455,41309,0x04a3,3,232398,17,26,,22,232333,65
8.8.8.172 7.7.7.172 1194 41309,802722843,802927575,802927644,802927656,,,802927711,802927725,1194,0x3e8a,3,204904,49,12,,14,204829,75
7.7.7.173 8.8.8.173 41309 1194,802990579,803307580,803307616,803307624,,,803307679,803307688,41309,0x2db4,3,317292,53,8,,9,317222,70
8.8.8.173 7.7.7.173 1194 41309,803363257,803513687,803513756,803513765,,,803513820,803513827,1194,0x179d,3,150524,2,9,,7,150506,18
7.7.7.174 8.8.8.174 41309 1194,803570062,803822500,803822569,803822580,,,803822636,803822646,41309,0x568d,3,252603,37,11,,10,252545,58
8.8.8.174 7.7.7.174 1194 41309,803880833,804103530,804103598,804103607,,,804103663,804103673,1194,0x6ca4,3,222839,50,9,,10,222770,69
7.7.7.175 8.8.8.175 41309 1194,804159520,804376571,804376577,804376584,,,804376640,804376646,41309,0x7f9a,3,217248,49,7,,6,217186,62
8.8.8.175 7.7.7.175 1194 41309,804433332,804647520,804647589,804647597,,,804647652,804647661,1194,0x45b3,3,214371,45,8,,9,214309,62
7.7.7.176 8.8.8.176 41309 1194,804706072,804941294,804941316,804941328,,,804941384,804941395,41309,0x5402,3,235473,34,12,,11,235416,57
8.8.8.176 7.7.7.176 1194 41309,805002809,805226459,805226528,805226535,,,805226590,805226599,1194,0x6e2b,3,223814,49,7,,9,223749,65
7.7.7.177 8.8.8.177 41309 1194,805284601,805520292,805520322,805520332,,,805520387,805520393,41309,0x7d15,3,235957,133,10,,6,235808,149
8.8.8.177 7.7.7.177 1194 41309,805583309,805779354,805779414,805779425,,,805779481,805779493,1194,0x473c,3,196285,35,11,,12,196227,58
8.8.8.178 7.7.7.178 1194 41309,806102838,806306300,806306347,806306353,,,806306408,806306414,1194,0x3c05,3,203652,63,6,,6,203577,75
7.7.7.179 8.8.8.179 41309 1194,806371567,806830073,806830106,806830115,,,806830171,806830182,41309,0x2f3b,3,458922,55,9,,11,458847,75
8.8.8.179 7.7.7.179 1194 41309,806887163,807344901,807344970,807344978,,,807345033,807345043,1194,0x1512,3,458171,58,8,,10,458095,76
8.8.8.180 7.7.7.180 1194 41309,807824302,808109750,808109819,808109829,,,808109885,808109894,1194,0x3c86,3,285727,48,10,,9,285660,67
7.7.7.181 8.8.8.181 41309 1194,808167029,808495766,808495834,808495841,,,808495897,808495904,41309,0x2fb8,3,329019,51,7,,7,328954,65
8.8.8.181 7.7.7.181 1194 41309,808546657,808747117,808747169,808747178,,,808747234,808747243,1194,0x1591,3,200653,50,9,,9,200585,68
8.8.8.182 7.7.7.182 1194 45233,810816590,810996418,810996439,810996453,,,810996509,810996522,1194,0x575f,3,179996,58,14,,13,179911,85
7.7.7.183 8.8.8.183 45233 1194,811053393,811216669,811216736,811216745,,,811216800,811216810,45233,0x4224,3,163430,39,9,,10,163372,58
8.8.8.183 7.7.7.183 1194 45233,811274188,811441174,811441234,811441241,,,811441297,811441304,1194,0x7e48,3,167160,53,7,,7,167093,67
7.7.7.184 8.8.8.184 45233 1194,811497989,811659224,811659294,811659306,,,811659362,811659374,45233,0x381b,3,161354,52,12,,12,161278,76
8.8.8.184 7.7.7.184 1194 45233,811715808,811873758,811873783,811873792,,,811873847,811873856,1194,0x0477,3,158098,46,9,,9,158034,64
7.7.7.185 8.8.8.185 45233 1194,811929676,812145050,812145119,812145124,,,812145179,812145186,45233,0x110c,3,215601,79,5,,7,215510,91
8.8.8.185 7.7.7.185 1194 45233,812203415,812334869,812334938,812334944,,,812334998,812335003,1194,0x2d60,3,131564,53,6,,5,131500,64
7.7.7.187 8.8.8.187 45233 1194,814355442,814587914,814587968,814587977,,,814588032,814588044,45233,0x4322,3,232692,47,9,,12,232624,68
8.8.8.187 7.7.7.187 1194 45233,814643209,814847069,814847138,814847150,,,814847206,814847217,1194,0x7f4e,3,204038,40,12,,11,203975,63
7.7.7.188 8.8.8.188 45233 1194,814903970,815114467,815114484,815114492,,,815114547,815114557,45233,0x6ab6,3,210693,42,8,,10,210633,60
8.8.8.188 7.7.7.188 1194 45233,815175710,815387486,815387555,815387561,,,815387616,815387625,1194,0x56da,3,211920,30,6,,9,211875,45
7.7.7.189 8.8.8.189 45233 1194,815446500,815652600,815652669,815652680,,,815652736,815652745,45233,0x43a1,3,206258,45,11,,9,206193,65
8.8.8.189 7.7.7.189 1194 45233,815709227,815910628,815910647,815910657,,,815910713,815910723,1194,0x7fcd,3,201587,51,10,,10,201516,71
7.7.7.190 8.8.8.190 45233 1194,815967004,816094185,816094238,816094244,,,816094303,816094312,45233,0x3898,3,127299,41,6,,9,127243,56
7.7.7.191 8.8.8.191 45233 1194,816345718,816540403,816540429,816540435,,,816540490,816540498,45233,0x118f,3,194892,51,6,,8,194827,65
8.8.8.191 7.7.7.191 1194 45233,816598419,816798369,816798438,816798449,,,816798504,816798515,1194,0x2de3,3,200064,41,11,,11,200001,63
7.7.7.192 8.8.8.192 45233 1194,816853330,817052420,817052485,817052491,,,817052547,817052557,45233,0x44d6,3,199309,58,6,,10,199235,74
8.8.8.192 7.7.7.192 1194 45233,817109004,817235778,817235847,817235853,,,817235908,817235916,1194,0x78ba,3,126882,31,6,,8,126837,45
8.8.8.193 7.7.7.193 1194 45233,817581582,817813849,817813919,817813929,,,817813985,817813995,1194,0x51ad,3,232426,36,10,,10,232370,56
7.7.7.194 8.8.8.194 45233 1194,817870378,818097289,818097358,818097366,,,818097422,818097432,45233,0x16f8,3,227188,43,8,,10,227127,61
8.8.8.194 7.7.7.194 1194 45233,818155086,818387694,818387762,818387771,,,818387826,818387832,1194,0x2a94,3,232839,27,9,,6,232797,42
8.8.8.195 7.7.7.195 1194 45233,818815477,819144216,819144285,819144295,,,819144350,819144360,1194,0x0383,3,328987,82,10,,10,328885,102
7.7.7.196 8.8.8.196 45233 1194,819201127,819366929,819366936,819366944,,,819366998,819367007,45233,0x167b,3,165954,38,8,,9,165899,55
8.8.8.196 7.7.7.196 1194 45233,819424906,819571400,819571411,819571421,,,819571476,819571486,1194,0x2a17,3,146629,44,10,,10,146565,64
7.7.7.197 8.8.8.197 45233 1194,819627770,819962669,819962701,819962712,,,819962768,819962780,45233,0x3f6c,3,335218,46,11,,12,335149,69
7.7.7.198 8.8.8.198 45233 1194,820416038,820630993,820631062,820631068,,,820631124,820631130,45233,0x4455,3,215113,43,6,,6,215058,55
8.8.8.198 7.7.7.198 1194 45233,820685794,820865631,820865700,820865710,,,820865766,820865773,1194,0x7839,3,179974,52,10,,7,179905,69
7.7.7.199 8.8.8.199 45233 1194,820923620,821251261,821251307,821251316,,,821251371,821251381,45233,0x6d42,3,327986,23,9,,10,327944,42
7.7.7.200 8.8.8.200 45233 1194,821519100,821741763,821741833,821741844,,,821741901,821741911,45233,0x177d,3,222870,28,11,,10,222821,49
8.8.8.200 7.7.7.200 1194 45233,821797790,822020263,822020315,822020326,,,822020382,822020391,1194,0x2b11,3,222681,32,11,,9,222629,52
7.7.7.201 8.8.8.201 45233 1194,822076622,822255499,822255545,822255553,,,822255608,822255616,45233,0x3e6a,3,179110,30,8,,8,179064,46
8.8.8.201 7.7.7.201 1194 45233,822312452,822495022,822495091,822495098,,,822495154,822495163,1194,0x0206,3,182752,35,7,,9,182701,51
8.8.8.203 7.7.7.203 1194 42227,825401624,825604415,825604443,825604454,,,825604510,825604522,1194,0x76b2,3,202982,39,11,,12,202920,62
8.8.8.204 7.7.7.204 1194 42227,825935172,826075859,826075891,826075899,,,826075954,826075963,1194,0x5f26,3,140873,34,8,,9,140822,51
7.7.7.205 8.8.8.205 42227 1194,826130917,826299775,826299844,826299854,,,826299909,826299919,42227,0x4931,3,168966,23,10,,10,168923,43
8.8.8.205 7.7.7.205 1194 42227,826359794,826549590,826549600,826549610,,,826549665,826549674,1194,0x7631,3,189971,40,10,,9,189912,59
7.7.7.206 8.8.8.206 42227 1194,826605515,826824724,826824793,826824805,,,826824861,826824871,42227,0x3208,3,219401,23,12,,10,219356,45
7.7.7.207 8.8.8.207 42227 1194,827115052,827300431,827300500,827300507,,,827300563,827300570,42227,0x1b1f,3,185490,34,7,,7,185442,48
8.8.8.207 7.7.7.207 1194 42227,827358881,827532611,827532616,827532624,,,827532680,827532686,1194,0x241f,3,173916,39,8,,6,173863,53
7.7.7.208 8.8.8.208 42227 1194,827591631,827771197,827771265,827771275,,,827771331,827771341,42227,0x3087,3,179685,26,10,,10,179639,46
8.8.8.208 7.7.7.208 1194 42227,827827413,827937264,827937285,827937292,,,827937347,827937355,1194,0x0f87,3,109951,63,7,,8,109873,78
8.8.8.209 7.7.7.209 1194 42227,828274073,828505933,828505953,828505960,,,828506015,828506024,1194,0x2690,3,232098,30,7,,9,232052,46
7.7.7.210 8.8.8.210 42227 1194,828563808,828777194,828777209,828777220,,,828777275,828777286,42227,0x62a9,3,213630,24,11,,11,213584,46
8.8.8.210 7.7.7.210 1194 42227,828833516,829020404,829020473,829020481,,,829020536,829020544,1194,0x5da9,3,187015,38,8,,8,186961,54
8.8.8.211 7.7.7.211 1194 42227,829347055,829535834,829535903,829535912,,,829535967,829535976,1194,0x74be,3,188921,66,9,,9,188837,84
7.7.7.212 8.8.8.212 42227 1194,829591943,829801771,829801840,829801850,,,829801906,829801917,42227,0x622a,3,210047,43,10,,11,209983,64
8.8.8.212 7.7.7.212 1194 42227,829859604,829982746,829982759,829982766,,,829982822,829982831,1194,0x5d2a,3,123257,36,7,,9,123205,52
7.7.7.213 8.8.8.213 42227 1194,830041517,830250597,830250608,830250616,,,830250671,830250678,42227,0x4b3d,3,209275,45,8,,7,209215,60
8.8.8.213 7.7.7.213 1194 42227,830305230,830509236,830509305,830509311,,,830509366,830509373,1194,0x743d,3,204127,-3,6,,7,204117,10
