Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
10.0.2.16 52.165.180.242 53988 443,275146919,275161645,275161720,275161736,275161771,275161788,,,53988,0x6c79,6,75,16,17,,14524,14599,,,,,,
10.0.2.16 23.102.169.166 56754 443,275143157,275163304,275163352,275163358,275163389,275163398,,,56754,0x463e,6,16,6,9,,19937,19953,,,,,,
23.102.169.166 10.0.2.16 443 56754,275142783,275163705,275163712,275163719,275163749,275163760,,,443,0x45e0,6,31,7,11,,20727,20758,,,,,,
10.0.2.16 23.102.169.166 56762 443,275154445,275170238,275170267,275170272,275170302,275170311,,,56762,0x25d8,6,8,5,9,,15595,15603,,,,,,
10.0.2.16 104.208.16.90 50848 443,275194852,275201614,275201634,275201641,275201667,275201679,,,50848,0x7b28,6,2,7,12,,6692,6694,,,,,,
10.0.2.16 40.79.141.153 55156 443,275681902,275686358,275686429,275686435,275686460,275686470,,,55156,0x3119,6,20,6,10,,4324,4344,,,,,,
10.0.2.16 20.42.65.85 44022 443,275770387,275775938,275776010,275776017,275776041,275776052,,,44022,0x5d7f,6,37,7,11,,5485,5522,,,,,,
20.42.65.85 10.0.2.16 443 44022,275770022,275776334,275776359,275776365,275776388,275776398,,,443,0x58bf,6,62,6,10,,6229,6291,,,,,,119
10.0.2.16 20.189.173.7 57504 443,275811149,275815906,275815919,275815926,275815948,275815958,,,57504,0x2e84,6,6,7,10,,4709,4715,,,,,,
137.117.16.35 10.0.2.16 443 36146,275804419,275828850,275828921,275828925,275828947,275828955,,,443,0x224d,6,33,4,8,,24247,24280,,,,,,
10.0.2.16 23.102.169.166 54364 443,275933572,275946378,275946449,275946453,275946472,275946481,,,54364,0x1942,6,25,4,9,,12752,12777,,,,,,
10.0.2.16 13.69.116.104 45238 443,275947380,275953719,275953791,275953794,275953812,275953818,,,45238,0x2a21,6,20,3,6,,6254,6274,,,,,,
