Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.175.58 10.0.2.16 443 55962,1129392674,1129398595,1129398605,1129398611,1129398638,1129398651,,,443,0x267e,4,17,6,13,,5851,5868
10.0.2.16 149.154.175.53 39782 443,1129711755,1129718315,1129718385,1129718394,1129718415,1129718427,,,39782,0x4dfc,4,25,9,12,,6469,6494
10.0.2.16 149.154.175.58 49914 443,1129738356,1129743312,1129743354,1129743360,1129743379,1129743389,,,49914,0x37dd,4,29,6,10,,4905,4934
149.154.175.58 10.0.2.16 443 49914,1129738730,1129743837,1129743843,1129743847,1129743866,1129743875,,,443,0x1cd8,4,47,4,9,,5025,5072
149.154.167.151 10.0.2.16 443 54414,1129801049,1129805989,1129806000,1129806007,1129806027,1129806035,,,443,0x4ff7,4,48,7,8,,4899,4947
10.0.2.16 149.154.175.58 37536 443,1129940957,1129981832,1129981902,1129981907,1129981925,1129981933,,,37536,0x6433,4,17,5,8,,40265,40282
10.0.2.16 149.154.175.53 35416 443,1130090787,1130099922,1130099939,1130099944,1130099962,1130099973,,,35416,0x762a,4,21,5,11,,9076,9097
10.0.2.16 149.154.167.151 34984 443,1130112285,1130117637,1130117700,1130117705,1130117723,1130117729,,,34984,0x63a9,4,91,5,6,,5331,5422
149.154.167.151 10.0.2.16 443 38436,1130141858,1130146543,1130146574,1130146578,1130146596,1130146603,,,443,0x4811,4,15,4,7,,4599,4614
149.154.175.53 10.0.2.16 443 36770,1130278163,1130283255,1130283263,1130283267,1130283285,1130283293,,,443,0x426b,4,32,4,8,,5020,5052
10.0.2.16 149.154.167.151 50624 443,1130294814,1130301096,1130301166,1130301170,1130301188,1130301193,,,50624,0x435b,4,25,4,5,,6134,6159
149.154.175.53 10.0.2.16 443 45746,1130499056,1130509898,1130509959,1130509963,1130509980,1130509990,,,443,0x3688,4,24,4,10,,10689,10713
149.154.167.151 10.0.2.16 443 50434,1130517579,1130522298,1130522349,1130522356,1130522375,1130522386,,,443,0x5306,4,29,7,11,,4660,4689
10.0.2.16 149.154.167.151 36574 443,1130545305,1130550967,1130550982,1130550986,1130551004,1130551013,,,36574,0x7d9d,4,49,4,9,,5572,5621
10.0.2.16 149.154.175.58 42916 443,1130831210,1130837113,1130837184,1130837189,1130837207,1130837214,,,42916,0x653a,4,41,5,7,,5722,5763
149.154.175.58 10.0.2.16 443 59246,1130845220,1130852697,1130852768,1130852772,1130852791,1130852799,,,443,0x6cbe,4,17,4,8,,7313,7330
10.0.2.16 149.154.175.58 59246 443,1130844805,1130853022,1130853092,1130853097,1130853115,1130853123,,,59246,0x335c,4,14,5,8,,8092,8106
149.154.167.151 10.0.2.16 443 35622,1130856031,1130860513,1130860584,1130860590,1130860608,1130860618,,,443,0x7343,4,84,6,10,,4334,4418
10.0.2.16 149.154.167.151 35622 443,1130855684,1130861957,1130862000,1130862006,1130862024,1130862035,,,35622,0x1b71,4,59,6,11,,6203,6262
149.154.175.58 10.0.2.16 443 50124,1131397772,1131402710,1131402782,1131402787,1131402805,1131402814,,,443,0x5c6a,4,13,5,9,,4860,4873
149.154.167.151 10.0.2.16 443 60558,1131422489,1131428099,1131428170,1131428175,1131428193,1131428204,,,443,0x5e89,4,29,5,11,,5514,5543
10.0.2.16 149.154.167.151 60558 443,1131422026,1131428582,1131428652,1131428658,1131428676,1131428687,,,60558,0x3a87,4,39,6,11,,6393,6432
149.154.175.58 10.0.2.16 443 56306,1131595363,1131600766,1131600839,1131600862,1131600884,1131600906,,,443,0x43c3,4,22,23,22,,5298,5320
10.0.2.16 149.154.175.58 36074 443,1131604106,1131608773,1131608844,1131608853,1131608871,1131608883,,,36074,0x4eeb,4,100,9,12,,4614,4714
149.154.175.58 10.0.2.16 443 36074,1131603657,1131609135,1131609177,1131609182,1131609200,1131609209,,,443,0x4fc2,4,64,5,9,,5393,5457
149.154.167.151 10.0.2.16 443 41294,1131620635,1131625458,1131625529,1131625536,1131625553,1131625566,,,443,0x331b,4,33,7,13,,4708,4741
10.0.2.16 149.154.167.151 41294 443,1131620184,1131625789,1131625859,1131625864,1131625882,1131625893,,,41294,0x2427,4,102,5,11,,5501,5603
149.154.167.151 10.0.2.16 443 34144,1131894640,1131899344,1131899393,1131899403,1131899422,1131899433,,,443,0x5b52,4,28,10,11,,4705,4733
10.0.2.16 149.154.167.151 34144 443,1131894171,1131901743,1131901754,1131901762,1131901780,1131901791,,,34144,0x1e36,4,23,8,11,,7445,7468
10.0.2.16 149.154.175.58 45828 443,1132000768,1132009549,1132009607,1132009612,1132009630,1132009640,,,45828,0x611e,4,36,5,10,,8702,8738
149.154.167.151 10.0.2.16 443 54084,1132041059,1132045851,1132045922,1132045927,1132045945,1132045954,,,443,0x64b7,4,101,5,9,,4724,4825
10.0.2.16 149.154.167.151 54084 443,1132040596,1132046489,1132046559,1132046564,1132046582,1132046591,,,54084,0x300a,4,37,5,9,,5741,5778
149.154.167.151 10.0.2.16 443 55932,1132075377,1132089900,1132089920,1132089925,1132089943,1132089952,,,443,0x6e40,4,17,5,9,,14300,14317
149.154.175.58 10.0.2.16 443 43372,1132738496,1132742507,1132742579,1132742592,1132742611,1132742626,,,443,0x7ecb,4,10,13,15,,3910,3920
