Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
9.9.9.165 10.10.10.165 46315 1194,1533017357,1533120355,1533120418,1533120431,,,1533120502,1533120513,46315,0x56af,4,103173,45,13,,11,103104,69
10.10.10.166 9.9.9.166 1194 46315,1533174098,1533286809,1533286881,1533286890,,,1533286959,1533286967,1194,0x135d,4,112776,25,9,,8,112734,42
9.9.9.166 10.10.10.166 46315 1194,1533349030,1533497573,1533497646,1533497653,,,1533497721,1533497729,46315,0x2d96,4,148674,49,7,,8,148610,64
9.9.9.167 10.10.10.167 46315 1194,1533705650,1533816264,1533816336,1533816347,,,1533816413,1533816423,46315,0x0481,4,110685,40,11,,10,110624,61
10.10.10.168 9.9.9.168 1194 46315,1533874519,1533990141,1533990212,1533990221,,,1533990289,1533990300,1194,0x4075,4,115729,25,9,,11,115684,45
9.9.9.168 10.10.10.168 46315 1194,1534047431,1534151069,1534151141,1534151148,,,1534151211,1534151219,46315,0x7ebe,4,103742,27,7,,8,103700,42
10.10.10.169 9.9.9.169 1194 46315,1534204250,1534283004,1534283076,1534283083,,,1534283145,1534283152,1194,0x6962,4,78835,38,7,,7,78783,52
10.10.10.170 9.9.9.170 1194 46315,1534529003,1534643431,1534643455,1534643463,,,1534643526,1534643533,1194,0x125b,4,114612,38,8,,7,114559,53
9.9.9.170 10.10.10.170 46315 1194,1534699772,1534955498,1534955571,1534955582,,,1534955645,1534955654,46315,0x2c90,4,255905,30,11,,9,255855,50
10.10.10.171 9.9.9.171 1194 46315,1535018490,1535143167,1535143239,1535143248,,,1535143310,1535143317,1194,0x3b4c,4,124771,29,9,,7,124726,45
10.10.10.172 9.9.9.172 1194 46315,1535389204,1535466835,1535466895,1535466900,,,1535466961,1535466968,1194,0x12d8,4,77747,42,5,,7,77693,54
9.9.9.172 10.10.10.172 46315 1194,1535523084,1535619527,1535619599,1535619605,,,1535619665,1535619672,46315,0x2c13,4,96489,42,6,,7,96434,55
