Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
12.12.12.167 11.11.11.167 1194 37160,2599035984,2599060450,2599060498,2599060508,,,2599060579,2599060589,1194,0x551c,5,24545,30,10,,10,24495,50
11.11.11.168 12.12.12.168 37160 1194,2599116985,2599220623,2599220691,2599220697,,,2599220766,2599220772,37160,0x049b,5,103804,42,6,,6,103750,54
12.12.12.168 11.11.11.168 1194 37160,2599274683,2599377479,2599377507,2599377514,,,2599377582,2599377588,1194,0x2f23,5,102892,33,7,,6,102846,46
12.12.12.169 11.11.11.169 1194 37160,2599549441,2599597600,2599597668,2599597674,,,2599597739,2599597744,1194,0x0634,5,48205,35,6,,5,48159,46
11.11.11.170 12.12.12.170 37160 1194,2599655413,2599741197,2599741211,2599741220,,,2599741285,2599741293,37160,0x56b5,5,85894,42,9,,8,85835,59
12.12.12.170 11.11.11.170 1194 37160,2599796262,2599884210,2599884278,2599884283,,,2599884346,2599884351,1194,0x7d0d,5,87995,38,5,,5,87947,48
11.11.11.171 12.12.12.171 37160 1194,2599939117,2600010319,2600010335,2600010340,,,2600010403,2600010407,37160,0x7fa2,5,71270,41,5,,4,71220,50
11.11.11.172 12.12.12.172 37160 1194,2600215967,2600238150,2600238218,2600238223,,,2600238288,2600238295,37160,0x5636,5,22209,32,5,,7,22165,44
12.12.12.172 11.11.11.172 1194 37160,2600294790,2600337473,2600337541,2600337546,,,2600337607,2600337611,1194,0x7d8e,5,42648,34,5,,4,42605,43
11.11.11.173 12.12.12.173 37160 1194,2600392801,2600506551,2600506620,2600506626,,,2600506687,2600506692,37160,0x7f21,5,113936,41,6,,5,113884,52
11.11.11.174 12.12.12.174 37160 1194,2600717394,2600766666,2600766693,2600766701,,,2600766762,2600766770,37160,0x0418,5,49319,25,8,,8,49278,41
12.12.12.174 11.11.11.174 1194 37160,2600822329,2600943363,2600943372,2600943377,,,2600943437,2600943443,1194,0x2fa0,5,121147,36,5,,6,121100,47
11.11.11.175 12.12.12.175 37160 1194,2600999162,2601108343,2601108412,2601108419,,,2601108478,2601108484,37160,0x2d0f,5,109203,32,7,,6,109158,45
12.12.12.175 11.11.11.175 1194 37160,2601164060,2601281952,2601282020,2601282026,,,2601282085,2601282090,1194,0x06b7,5,118017,34,6,,5,117972,45
12.12.12.176 11.11.11.176 1194 37160,2601510708,2601621119,2601621188,2601621195,,,2601621254,2601621257,1194,0x2d2f,5,110432,32,7,,3,110390,42
11.11.11.177 12.12.12.177 37160 1194,2601677578,2601793123,2601793193,2601793200,,,2601793260,2601793265,37160,0x2f80,5,115658,31,7,,5,115615,43
12.12.12.177 11.11.11.177 1194 37160,2601847392,2601938284,2601938352,2601938359,,,2601938416,2601938421,1194,0x0438,5,90960,26,7,,5,90922,38
12.12.12.178 11.11.11.178 1194 37160,2602121208,2602187894,2602187937,2602187942,,,2602187998,2602188002,1194,0x7f01,5,66780,46,5,,4,66725,55
11.11.11.181 12.12.12.181 49970 1194,2604286260,2604338573,2604338641,2604338649,,,2604338706,2604338716,49970,0x2329,5,52318,22,8,,10,52278,40
12.12.12.181 11.11.11.181 1194 49970,2604395144,2604593524,2604593592,2604593597,,,2604593653,2604593658,1194,0x7e66,5,198544,35,5,,5,198499,45
11.11.11.182 12.12.12.182 49970 1194,2604657897,2604700201,2604700257,2604700267,,,2604700324,2604700335,49970,0x5810,5,42344,32,10,,11,42291,53
12.12.12.182 11.11.11.182 1194 49970,2604757871,2604767168,2604767236,2604767244,,,2604767300,2604767308,1194,0x055f,5,9341,25,8,,8,9300,41
11.11.11.184 12.12.12.184 49970 1194,2605457207,2606585814,2606585883,2606585896,,,2606585953,2606585966,49970,0x0b38,5,1129644,26,13,,13,1129592,52
12.12.12.185 11.11.11.185 1194 49970,2607997001,2608059574,2608059642,2608059651,,,2608059706,2608059718,1194,0x7f60,5,62633,29,9,,12,62583,50
11.11.11.186 12.12.12.186 49970 1194,2608115833,2608146799,2608146859,2608146864,,,2608146920,2608146928,49970,0x5916,5,31001,26,5,,8,30962,39
12.12.12.187 11.11.11.187 1194 49970,2608426550,2608536045,2608536113,2608536118,,,2608536175,2608536181,1194,0x2d4e,5,109585,44,5,,6,109530,55
11.11.11.188 12.12.12.188 49970 1194,2608593412,2608628702,2608628770,2608628775,,,2608628831,2608628835,49970,0x5995,5,35253,39,5,,4,35205,48
12.12.12.188 11.11.11.188 1194 49970,2608690357,2608708311,2608708332,2608708341,,,2608708398,2608708403,1194,0x04da,5,18000,25,9,,5,17961,39
11.11.11.189 12.12.12.189 49970 1194,2608765300,2608827153,2608827221,2608827229,,,2608827285,2608827293,49970,0x7082,5,61957,36,8,,8,61905,52
11.11.11.190 12.12.12.190 49970 1194,2608988064,2609043654,2609043724,2609043731,,,2609043787,2609043794,49970,0x0bbb,5,55626,32,7,,7,55580,46
12.12.12.191 11.11.11.191 1194 49970,2609334767,2609352237,2609352305,2609352312,,,2609352368,2609352373,1194,0x7fe3,5,17490,28,7,,5,17450,40
12.12.12.193 11.11.11.193 1194 49970,2609718378,2609747653,2609747722,2609747732,,,2609747789,2609747800,1194,0x03ad,5,29257,24,10,,11,29212,45
11.11.11.196 12.12.12.196 49970 1194,2610299943,2610402817,2610402885,2610402893,,,2610402949,2610402957,49970,0x2558,5,102971,37,8,,8,102918,53
11.11.11.197 12.12.12.197 49970 1194,2610645609,2610661698,2610661700,2610661706,,,2610661761,2610661768,49970,0x0c4f,5,16140,34,6,,7,16093,47
11.11.11.199 12.12.12.199 49970 1194,2610982291,2611048122,2611048190,2611048199,,,2611048254,2611048263,49970,0x5e61,5,65881,33,9,,9,65830,51
12.12.12.201 11.11.11.201 1194 46306,2612529916,2612627422,2612627428,2612627433,,,2612627489,2612627493,1194,0x2d9c,5,97599,40,5,,4,97550,49
11.11.11.202 12.12.12.202 46306 1194,2612684775,2612769425,2612769495,2612769503,,,2612769558,2612769566,46306,0x33bb,5,84657,29,8,,8,84612,45
12.12.12.202 11.11.11.202 1194 46306,2612825624,2612900553,2612900621,2612900629,,,2612900685,2612900691,1194,0x56a5,5,74932,43,8,,6,74875,57
12.12.12.203 11.11.11.203 1194 46306,2613072427,2613185504,2613185574,2613185581,,,2613185636,2613185643,1194,0x7fb2,5,113128,29,7,,7,113085,43
11.11.11.204 12.12.12.204 46306 1194,2613243276,2613311131,2613311171,2613311175,,,2613311230,2613311234,46306,0x3338,5,67941,53,4,,4,67880,61
12.12.12.204 11.11.11.204 1194 46306,2613368174,2613436521,2613436589,2613436596,,,2613436651,2613436660,1194,0x5626,5,68357,31,7,,9,68310,47
11.11.11.205 12.12.12.205 46306 1194,2613492030,2613530816,2613530884,2613530889,,,2613530944,2613530949,46306,0x1a2f,5,38811,40,5,,5,38761,50
11.11.11.206 12.12.12.206 46306 1194,2613696858,2613716166,2613716235,2613716242,,,2613716298,2613716305,46306,0x6116,5,19300,31,7,,7,19255,45
12.12.12.206 11.11.11.206 1194 46306,2613768771,2613792186,2613792254,2613792258,,,2613792313,2613792317,1194,0x0408,5,23392,36,4,,4,23348,44
11.11.11.207 12.12.12.207 46306 1194,2613847697,2613884250,2613884286,2613884290,,,2613884345,2613884350,46306,0x4801,5,36589,38,4,,5,36542,47
11.11.11.208 12.12.12.208 46306 1194,2614051544,2614123977,2614124009,2614124014,,,2614124069,2614124074,46306,0x6399,5,72518,42,5,,5,72466,52
12.12.12.208 11.11.11.208 1194 46306,2614180408,2614264270,2614264338,2614264343,,,2614264398,2614264402,1194,0x0687,5,83900,35,5,,4,83856,44
11.11.11.211 12.12.12.211 46306 1194,2616154702,2616169243,2616169311,2616169319,,,2616169374,2616169384,46306,0x18a0,5,14525,30,8,,10,14477,48
12.12.12.211 11.11.11.211 1194 46306,2616225614,2616290645,2616290675,2616290680,,,2616290734,2616290740,1194,0x7dbe,5,65092,42,5,,6,65039,53
12.12.12.212 11.11.11.212 1194 46306,2616491375,2616571757,2616571826,2616571830,,,2616571885,2616571890,1194,0x542a,5,80399,58,4,,5,80332,67
11.11.11.213 12.12.12.213 46306 1194,2616627249,2616692406,2616692474,2616692479,,,2616692534,2616692538,46306,0x1823,5,65202,46,5,,4,65147,55
12.12.12.213 11.11.11.213 1194 46306,2616750184,2616805849,2616805919,2616805928,,,2616805983,2616805989,1194,0x7d3d,5,55767,38,9,,6,55714,53
11.11.11.214 12.12.12.214 46306 1194,2616863061,2616882568,2616882636,2616882642,,,2616882696,2616882701,46306,0x631a,5,19548,36,6,,5,19501,47
11.11.11.215 12.12.12.215 46306 1194,2617035909,2617063658,2617063726,2617063732,,,2617063787,2617063793,46306,0x4a0d,5,27714,41,6,,6,27661,53
12.12.12.215 11.11.11.215 1194 46306,2617121811,2617148635,2617148669,2617148676,,,2617148730,2617148735,1194,0x2f13,5,26851,34,7,,5,26805,46
11.11.11.216 12.12.12.216 46306 1194,2617212720,2617271347,2617271415,2617271421,,,2617271475,2617271479,46306,0x3032,5,58672,38,6,,4,58624,48
12.12.12.216 11.11.11.216 1194 46306,2617327592,2617409247,2617409315,2617409322,,,2617409377,2617409382,1194,0x552c,5,81678,30,7,,5,81636,42
12.12.12.217 11.11.11.217 1194 46306,2617608358,2617670378,2617670410,2617670414,,,2617670469,2617670473,1194,0x7c3b,5,62078,38,4,,4,62032,46
11.11.11.218 12.12.12.218 46306 1194,2617732269,2617768341,2617768408,2617768416,,,2617768471,2617768477,46306,0x621c,5,36109,32,8,,6,36063,46
12.12.12.218 11.11.11.218 1194 46306,2617834178,2617896034,2617896101,2617896109,,,2617896164,2617896170,1194,0x0702,5,61863,33,8,,6,61816,47
12.12.12.219 11.11.11.219 1194 46306,2618133945,2618243672,2618243698,2618243703,,,2618243758,2618243762,1194,0x2e15,5,109865,52,5,,4,109804,61
11.11.11.220 12.12.12.220 44549 1194,2618308834,2618496055,2618496098,2618496104,,,2618496160,2618496167,44549,0x4944,5,187467,40,6,,7,187414,53
11.11.11.222 12.12.12.222 44549 1194,2620336989,2620352171,2620352239,2620352248,,,2620352303,2620352312,44549,0x1b6a,5,15247,25,9,,9,15204,43
11.11.11.223 12.12.12.223 44549 1194,2620496810,2620524387,2620524396,2620524402,,,2620524456,2620524460,44549,0x327d,5,27632,42,6,,4,27580,52
11.11.11.224 12.12.12.224 44549 1194,2620685620,2620697922,2620697991,2620697998,,,2620698053,2620698060,44549,0x4c5a,5,12316,31,7,,7,12271,45
12.12.12.224 11.11.11.224 1194 44549,2620752689,2620777162,2620777193,2620777199,,,2620777254,2620777258,1194,0x7b72,5,24574,42,6,,4,24522,52
11.11.11.225 12.12.12.225 44549 1194,2620833582,2620853404,2620853472,2620853477,,,2620853532,2620853539,44549,0x654d,5,19844,35,5,,7,19797,47
12.12.12.225 11.11.11.225 1194 44549,2620910472,2620970007,2620970075,2620970080,,,2620970134,2620970141,1194,0x5265,5,59653,42,5,,7,59599,54
12.12.12.226 11.11.11.226 1194 44549,2621107235,2621130889,2621130949,2621130955,,,2621131010,2621131016,1194,0x295c,5,23678,38,6,,6,23628,50
11.11.11.227 12.12.12.227 44549 1194,2621202181,2621215587,2621215654,2621215659,,,2621215714,2621215717,44549,0x3763,5,13377,40,5,,3,13329,48
12.12.12.227 11.11.11.227 1194 44549,2621271086,2621299620,2621299650,2621299654,,,2621299708,2621299712,1194,0x004b,5,28564,42,4,,4,28514,50
12.12.12.228 11.11.11.228 1194 44549,2621475976,2621536795,2621536858,2621536863,,,2621536918,2621536922,1194,0x29df,5,60928,62,5,,4,60857,71
11.11.11.229 12.12.12.229 44549 1194,2621593852,2621619111,2621619137,2621619142,,,2621619197,2621619200,44549,0x37e0,5,25286,45,5,,3,25233,53
12.12.12.229 11.11.11.229 1194 44549,2621684758,2621717264,2621717333,2621717340,,,2621717395,2621717401,1194,0x00c8,5,32523,55,7,,6,32455,68
11.11.11.230 12.12.12.230 44549 1194,2621774642,2621808716,2621808737,2621808743,,,2621808797,2621808805,44549,0x4cd9,5,34108,42,6,,8,34052,56
11.11.11.231 12.12.12.231 44549 1194,2621965478,2622060726,2622060748,2622060754,,,2622060810,2622060816,44549,0x65ce,5,95337,40,6,,6,95285,52
12.12.12.231 11.11.11.231 1194 44549,2622124387,2622231048,2622231089,2622231095,,,2622231150,2622231156,1194,0x52e6,5,106799,40,6,,6,106747,52
11.11.11.232 12.12.12.232 44549 1194,2622289270,2622299743,2622299787,2622299792,,,2622299847,2622299850,44549,0x1ff1,5,10548,37,5,,3,10503,45
12.12.12.232 11.11.11.232 1194 44549,2622360172,2622381739,2622381807,2622381812,,,2622381866,2622381870,1194,0x28d9,5,21522,39,5,,4,21474,48
12.12.12.233 11.11.11.233 1194 44549,2622577932,2622678481,2622678496,2622678503,,,2622678557,2622678564,1194,0x01ce,5,100642,37,7,,7,100591,51
11.11.11.234 12.12.12.234 44549 1194,2622736840,2622839943,2622840002,2622840010,,,2622840066,2622840074,44549,0x4ddf,5,103228,29,8,,8,103183,45
12.12.12.234 11.11.11.234 1194 44549,2622901710,2623015369,2623015397,2623015403,,,2623015458,2623015464,1194,0x7af7,5,113829,35,6,,6,113782,47
12.12.12.235 11.11.11.235 1194 44549,2624740022,2624818312,2624818381,2624818396,,,2624818453,2624818467,1194,0x53e0,5,78306,18,15,,14,78259,47
11.11.11.236 12.12.12.236 44549 1194,2624876947,2624894477,2624894541,2624894550,,,2624894604,2624894613,44549,0x4d5c,5,17550,31,9,,9,17501,49
12.12.12.236 11.11.11.236 1194 44549,2624944872,2624974306,2624974366,2624974372,,,2624974427,2624974434,1194,0x7a74,5,29512,29,6,,7,29470,42
11.11.11.237 12.12.12.237 44549 1194,2625030746,2625049271,2625049330,2625049335,,,2625049390,2625049394,44549,0x644b,5,18545,38,5,,4,18498,47
12.12.12.237 11.11.11.237 1194 44549,2625104697,2625127997,2625128065,2625128071,,,2625128126,2625128131,1194,0x5363,5,23281,12,6,,5,23258,23
11.11.11.238 12.12.12.238 44549 1194,2625185595,2625216789,2625216846,2625216851,,,2625216906,2625216909,44549,0x1f72,5,31225,36,5,,3,31181,44
