Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
31.13.80.48 10.0.2.16 5222 33128,2865134362,2865134394,2865134410,2865134421,2865134456,2865134469,,,5222,0x46d1,2,28,11,13,,2147,2175
10.0.2.16 31.13.80.48 47364 443,2865135440,2865140597,2865140670,2865140680,2865140713,2865140725,,,47364,0x34dd,2,15,10,12,,4625,4640
10.0.2.16 31.13.80.48 33534 5222,2865162372,2865162400,2865162406,2865162409,2865162445,2865162450,,,33534,0x1be0,2,53,3,5,,3903,3956
31.13.80.48 10.0.2.16 443 47364,2865162316,2865162319,2865162402,2865162409,2865162438,2865162449,,,443,0x446b,2,19,7,11,,4233,4252
31.13.80.48 10.0.2.16 5222 33534,2865163377,2865163380,2865163456,2865163461,2865163489,2865163495,,,5222,0x6f6f,2,37,5,6,,3504,3541
31.13.80.48 10.0.2.16 443 43258,2865163918,2865170122,2865170194,2865170201,2865170229,2865170240,,,443,0x3cf3,2,77,7,11,,5637,5714
10.0.2.16 31.13.80.48 43258 443,2865895454,2865895459,2865895540,2865895559,2865895588,2865895602,,,43258,0x19d3,2,21,19,14,,5250,5271
31.13.80.48 10.0.2.16 5222 54032,2865899632,2865899753,2865899835,2865899841,2865899867,2865899873,,,5222,0x7bca,2,98,6,6,,4173,4271
10.0.2.16 31.13.80.48 51030 443,2865900951,2865904270,2865904343,2865904349,2865904373,2865904380,,,51030,0x3713,2,17,6,7,,2811,2828
31.13.80.48 10.0.2.16 443 51030,2866009919,2866009925,2866010003,2866010012,2866010036,2866010044,,,443,0x282a,2,49,9,8,,2417,2466
31.13.80.48 10.0.2.16 443 58426,2866012999,2866013104,2866013183,2866013188,2866013211,2866013217,,,443,0x5262,2,83,5,6,,2149,2232
31.13.80.48 10.0.2.16 443 48502,2867657903,2867664941,2867664993,2867665012,2867665036,2867665052,,,443,0x371d,2,29,19,16,,6558,6587
10.0.2.16 31.13.80.48 48502 443,2867675032,2867675036,2867675115,2867675123,2867675147,2867675154,,,48502,0x4917,2,27,8,7,,6380,6407
10.0.2.16 31.13.80.48 57734 5222,2867675940,2867675966,2867675978,2867675983,2867676006,2867676010,,,57734,0x39e9,2,90,5,4,,3896,3986
31.13.80.48 10.0.2.16 5222 57734,2867676639,2867676766,2867676847,2867676852,2867676875,2867676881,,,5222,0x18c6,2,50,5,6,,3465,3515
10.0.2.16 31.13.80.48 59502 5222,2867743530,2867743541,2867743611,2867743617,2867743638,2867743643,,,59502,0x74e7,2,6,6,5,,3357,3363
31.13.80.48 10.0.2.16 5222 48588,2867743898,2867743927,2867743962,2867743966,2867743986,2867743992,,,5222,0x3897,2,22,4,6,,5582,5604
10.0.2.16 31.13.80.48 48588 5222,2867744549,2867744556,2867744631,2867744634,2867744654,2867744659,,,48588,0x41e5,2,98,3,5,,5183,5281
10.0.2.16 31.13.80.48 51904 443,2867810254,2867810350,2867810427,2867810433,2867810453,2867810461,,,51904,0x55c2,2,17,6,8,,6842,6859
10.0.2.16 31.13.80.48 60470 443,2867811588,2867811688,2867811767,2867811771,2867811790,2867811795,,,60470,0x79dd,2,19,4,5,,4788,4807
10.0.2.16 31.13.80.48 49698 5222,2867812980,2867816306,2867816379,2867816383,2867816403,2867816410,,,49698,0x6ec9,2,30,4,7,,2833,2863
31.13.80.48 10.0.2.16 5222 49698,2867846366,2867846373,2867846452,2867846466,2867846486,2867846497,,,5222,0x1dcb,2,117,14,11,,2429,2546
31.13.80.48 10.0.2.16 5222 54656,2867847732,2867847759,2867847773,2867847777,2867847795,2867847798,,,5222,0x175a,2,42,4,3,,2193,2235
10.0.2.16 31.13.80.48 35388 443,2867892537,2867892541,2867892621,2867892629,2867892648,2867892655,,,35388,0x3460,2,46,8,7,,6449,6495
10.0.2.16 31.13.80.48 45474 443,2867893041,2867893058,2867893122,2867893126,2867893144,2867893149,,,45474,0x45de,2,25,4,5,,4709,4734
31.13.80.48 10.0.2.16 443 45474,2867893278,2867893385,2867893463,2867893466,2867893484,2867893488,,,443,0x546d,2,108,3,4,,4306,4414
10.0.2.16 31.13.80.48 56302 443,2868021950,2868021954,2868022031,2868022037,2868022055,2868022060,,,56302,0x5f29,2,34,6,5,,5845,5879
10.0.2.16 31.13.80.48 40744 5222,2868023413,2868026736,2868026791,2868026795,2868026812,2868026819,,,40744,0x5b5c,2,38,4,7,,2806,2844
10.0.2.16 31.13.80.48 43236 443,2868057604,2868057715,2868057793,2868057797,2868057815,2868057819,,,43236,0x597a,2,32,4,4,,2673,2705
31.13.80.48 10.0.2.16 443 43236,2868058208,2868058235,2868058282,2868058286,2868058304,2868058307,,,443,0x5ff8,2,25,4,3,,2255,2280
31.13.80.48 10.0.2.16 443 41948,2868059947,2868064200,2868064266,2868064272,2868064290,2868064298,,,443,0x25f8,2,26,6,8,,3790,3816
