Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
14.14.14.172 13.13.13.172 1194 43080,3235848772,3236216132,3236216203,3236216218,,,3236216289,3236216304,1194,0x6241,6,367732,32,15,,15,367670,62
14.14.14.173 13.13.13.173 1194 43080,3236842952,3237379000,3237379070,3237379083,,,3237379152,3237379167,1194,0x4b56,6,536611,24,13,,15,536559,52
14.14.14.174 13.13.13.174 1194 43080,3237775050,3238299771,3238299842,3238299854,,,3238299920,3238299932,1194,0x306f,6,525125,25,12,,12,525076,49
14.14.14.175 13.13.13.175 1194 43080,3238740123,3239115424,3239115494,3239115508,,,3239115573,3239115585,1194,0x1978,6,375551,29,14,,12,375496,55
14.14.14.181 13.13.13.181 1194 40967,3243645833,3243776297,3243776367,3243776379,,,3243776438,3243776451,1194,0x5d6c,6,130566,70,12,,13,130471,95
14.14.14.182 13.13.13.182 1194 40967,3244116328,3244293906,3244293975,3244293984,,,3244294041,3244294047,1194,0x2655,6,177672,75,9,,6,177582,90
14.14.14.183 13.13.13.183 1194 40967,3244673933,3244813825,3244813891,3244813903,,,3244813959,3244813968,1194,0x0f42,6,140063,58,12,,9,139984,79
14.14.14.184 13.13.13.184 1194 40967,3245394224,3245792164,3245792233,3245792244,,,3245792301,3245792312,1194,0x757d,6,398232,48,11,,11,398162,70
14.14.14.186 13.13.13.186 1194 40967,3246846892,3247337816,3247337826,3247337837,,,3247337893,3247337903,1194,0x2753,6,491365,47,11,,10,491297,68
14.14.14.187 13.13.13.187 1194 40967,3247772071,3247986520,3247986570,3247986579,,,3247986636,3247986646,1194,0x0e44,6,214644,37,9,,10,214588,56
14.14.14.188 13.13.13.188 1194 40967,3248380609,3248759007,3248759077,3248759089,,,3248759146,3248759157,1194,0x27d0,6,378716,44,12,,11,378649,67
14.14.14.189 13.13.13.189 1194 40967,3249137878,3249271614,3249271683,3249271690,,,3249271746,3249271755,1194,0x0ec7,6,133828,45,7,,9,133767,61
14.14.14.190 13.13.13.190 1194 40967,3249727335,3250146928,3250146937,3250146950,,,3250147006,3250147016,1194,0x75fe,6,419970,38,13,,10,419909,61
14.14.14.191 13.13.13.191 1194 40967,3250495728,3250619281,3250619337,3250619344,,,3250619400,3250619408,1194,0x5ce9,6,123725,75,7,,8,123635,90
14.14.14.193 13.13.13.193 1194 40967,3252059344,3252190345,3252190414,3252190423,,,3252190478,3252190487,1194,0x20a7,6,131176,43,9,,9,131115,61
13.13.13.194 14.14.14.194 40967 1194,3252249110,3252729412,3252729482,3252729495,,,3252729552,3252729564,40967,0x4168,6,480715,30,13,,12,480660,55
14.14.14.195 13.13.13.195 1194 40967,3253518973,3253948705,3253948775,3253948788,,,3253948844,3253948855,1194,0x7289,6,430076,44,13,,11,430008,68
14.14.14.196 13.13.13.196 1194 40967,3254423253,3254890171,3254890240,3254890254,,,3254890315,3254890325,1194,0x5b1d,6,467369,77,14,,10,467268,101
14.14.14.198 13.13.13.198 1194 45650,3255826959,3256214822,3256214891,3256214899,,,3256214954,3256214962,1194,0x7085,6,388234,41,8,,8,388177,57
14.14.14.199 13.13.13.199 1194 45650,3256521333,3256786657,3256786727,3256786737,,,3256786792,3256786801,1194,0x5992,6,265501,48,10,,9,265434,67
14.14.14.200 13.13.13.200 1194 45650,3257194726,3257558139,3257558188,3257558195,,,3257558250,3257558256,1194,0x23ad,6,363745,64,7,,6,363668,77
14.14.14.202 13.13.13.202 1194 45650,3258764317,3259181066,3259181108,3259181119,,,3259181175,3259181185,1194,0x7183,6,417145,35,11,,10,417089,56
14.14.14.205 13.13.13.205 1194 45650,3261025284,3261403573,3261403642,3261403652,,,3261403707,3261403716,1194,0x5817,6,378630,50,10,,9,378561,69
