Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,flow_duration,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,total_latency
15.15.15.163 16.16.16.163 46345 1194,3860810147,3860912169,3860912252,3860912289,,,3860912364,3860912387,46345,0x41e6,7,102181,2,37,,23,102119,62
15.15.15.164 16.16.16.164 46345 1194,3861080921,3861285873,3861285943,3861285950,,,3861286020,3861286029,46345,0x6872,7,205216,39,7,,9,205161,55
16.16.16.164 15.15.15.164 1194 46345,3861343578,3861542938,3861542972,3861542998,,,3861543070,3861543089,1194,0x012a,7,199548,8,26,,19,199495,53
16.16.16.165 15.15.15.165 1194 46345,3863448682,3865076621,3865076693,3865076720,,,3865076788,3865076810,1194,0x283d,7,1629359,13,27,,22,1629297,62
15.15.15.166 16.16.16.166 46345 1194,3865134273,3865225089,3865225158,3865225168,,,3865225232,3865225241,46345,0x3a5c,7,90854,36,10,,9,90799,55
16.16.16.166 15.15.15.166 1194 46345,3865283078,3865299196,3865299201,3865299206,,,3865299269,3865299278,1194,0x5304,7,16140,38,5,,9,16088,52
15.15.15.167 16.16.16.167 41880 1194,3865355992,3865542657,3865542728,3865542735,,,3865542797,3865542807,41880,0x4a6c,7,186771,33,7,,10,186721,50
15.15.15.169 16.16.16.169 41880 1194,3866846667,3867185234,3867185304,3867185315,,,3867185376,3867185387,41880,0x1944,7,338796,32,11,,11,338742,54
15.15.15.170 16.16.16.170 41880 1194,3867383211,3867637902,3867637966,3867637991,,,3867638055,3867638074,41880,0x627d,7,254919,24,25,,19,254851,68
16.16.16.170 15.15.15.170 1194 41880,3867695980,3867713940,3867713989,3867714014,,,3867714078,3867714098,1194,0x618a,7,18058,4,25,,20,18009,49
15.15.15.171 16.16.16.171 41880 1194,3867770840,3867877128,3867877140,3867877154,,,3867877215,3867877229,41880,0x4b6a,7,106386,21,14,,14,106337,49
