timestamp,"
  flow_id_hex",pipeline_0_1,pipeline_0_8,pipeline_1_start,pipeline_1_end,pipeline_3_start,pipeline_3_end,pipeline_2_start,pipeline_2_end,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_2
2026-02-01T17:00:33.736576Z,0x588e,0x34657840,0x346586bc,0x34658707,0x3465872b,0x0,0x0,0x34658751,0x34658768,879065152,879068860,879068935,879068971,879069009,879069032,0,0,3.708,36,23
2026-02-01T17:00:36.678179Z,0x57ab,0x34941ebe,0x34942ca3,0x34942cf0,0x34942d09,0x0,0x0,0x34942d2e,0x34942d44,882122430,882125987,882126064,882126089,882126126,882126148,0,0,3.557,25,22
2026-02-01T17:00:40.287551Z,0x1884,0x34c2ccf9,0x34c309f8,0x34c30a23,0x34c30a33,0x0,0x0,0x34c30a54,0x34c30a66,885181689,885197304,885197347,885197363,885197396,885197414,0,0,15.615,16,18
2026-02-01T17:00:43.234527Z,0x4c06,0x34f1b20d,0x34f1ed8f,0x34f1edae,0x34f1edc6,0x0,0x0,0x34f1ede7,0x34f1edfb,888254989,888270223,888270254,888270278,888270311,888270331,0,0,15.234,24,20
2026-02-01T17:00:46.181278Z,0x1ed9,0x35208f09,0x3520b706,0x3520b751,0x3520b76a,0x0,0x0,0x3520b78b,0x3520b7a0,891326217,891336454,891336529,891336554,891336587,891336608,0,0,10.237,25,21
2026-02-01T17:00:49.124074Z,0x2017,0x354f58a4,0x354f7de3,0x354f7e2e,0x354f7e3c,0x0,0x0,0x354f7e59,0x354f7e67,894392484,894402019,894402094,894402108,894402137,894402151,0,0,9.535,14,14
2026-02-01T17:00:52.062203Z,0x890,0x357e1e8d,0x357e280d,0x357e2817,0x357e2827,0x0,0x0,0x357e2843,0x357e2851,897457805,897460237,897460247,897460263,897460291,897460305,0,0,2.432,16,14
2026-02-01T17:00:55.589209Z,0x43bd,0x35acccb5,0x35acd693,0x35acd6dd,0x35acd6ec,0x0,0x0,0x35acd708,0x35acd715,900517045,900519571,900519645,900519660,900519688,900519701,0,0,2.526,15,13
2026-02-01T17:00:58.531020Z,0x1cd7,0x35db7b16,0x35db862e,0x35db8679,0x35db8688,0x0,0x0,0x35db86a3,0x35db86b2,903576342,903579182,903579257,903579272,903579299,903579314,0,0,2.84,15,15
2026-02-01T17:01:01.471781Z,0x46fd,0x360a34f6,0x360a3f5a,0x360a3f65,0x360a3f76,0x0,0x0,0x360a3f8e,0x360a3f9d,906638582,906641242,906641253,906641270,906641294,906641309,0,0,2.66,17,15
2026-02-01T17:01:04.417826Z,0x7284,0x36390a48,0x36391508,0x36391552,0x3639155f,0x0,0x0,0x36391577,0x36391585,909707848,909710600,909710674,909710687,909710711,909710725,0,0,2.752,13,14
