timestamp,"
  flow_id_hex",pipeline_0_1,pipeline_0_8,pipeline_1_start,pipeline_1_end,pipeline_3_start,pipeline_3_end,pipeline_2_start,pipeline_2_end,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_2
2026-02-01T22:07:22.825435Z,0x470e,0x7da460d4,0x7da4bf70,0x7da4bfa9,0x7da4bfcd,0x0,0x0,0x7da4bff3,0x7da4c00a,2107924692,2107948912,2107948969,2107949005,2107949043,2107949066,0,0,24.22,36,23
2026-02-01T22:07:23.780039Z,0x48f0,0x7db4f355,0x7db54ea8,0x7db54ef3,0x7db54f01,0x0,0x0,0x7db54f23,0x7db54f33,2109010773,2109034152,2109034227,2109034241,2109034275,2109034291,0,0,23.379,14,16
2026-02-01T22:07:24.735983Z,0x7497,0x7dc57da9,0x7dc5b5b5,0x7dc5b5c3,0x7dc5b5cc,0x0,0x0,0x7dc5b5ed,0x7dc5b5f8,2110094761,2110109109,2110109123,2110109132,2110109165,2110109176,0,0,14.348,9,11
2026-02-01T22:07:25.696166Z,0x4d68,0x7dd5f4cd,0x7dd628ff,0x7dd62949,0x7dd62954,0x0,0x0,0x7dd62972,0x7dd6297f,2111173837,2111187199,2111187273,2111187284,2111187314,2111187327,0,0,13.362,11,13
2026-02-01T22:07:27.233602Z,0x5f81,0x7de657dd,0x7de690d7,0x7de69121,0x7de6912a,0x0,0x0,0x7de69148,0x7de69151,2112247773,2112262359,2112262433,2112262442,2112262472,2112262481,0,0,14.586,9,9
2026-02-01T22:07:28.188314Z,0xed7,0x7df6b7aa,0x7df6ed0d,0x7df6ed56,0x7df6ed63,0x0,0x0,0x7df6ed81,0x7df6ed8e,2113320874,2113334541,2113334614,2113334627,2113334657,2113334670,0,0,13.667,13,13
2026-02-01T22:07:29.152046Z,0x5cc2,0x7e071ee2,0x7e078ddc,0x7e078e16,0x7e078e27,0x0,0x0,0x7e078e44,0x7e078e54,2114395874,2114424284,2114424342,2114424359,2114424388,2114424404,0,0,28.41,17,16
2026-02-01T22:07:30.108030Z,0x7de5,0x7e17b957,0x7e1818ec,0x7e1818f9,0x7e181905,0x0,0x0,0x7e181920,0x7e18192e,2115483991,2115508460,2115508473,2115508485,2115508512,2115508526,0,0,24.469,12,14
2026-02-01T22:07:31.059951Z,0x320f,0x7e2847c7,0x7e289c7f,0x7e289cc8,0x7e289cd1,0x0,0x0,0x7e289ceb,0x7e289cf7,2116569031,2116590719,2116590792,2116590801,2116590827,2116590839,0,0,21.688,9,12
2026-02-01T22:07:32.593273Z,0x44a7,0x7e38c691,0x7e391848,0x7e391890,0x7e39189c,0x0,0x0,0x7e3918b5,0x7e3918c1,2117650065,2117670984,2117671056,2117671068,2117671093,2117671105,0,0,20.919,12,12
2026-02-01T22:07:33.555025Z,0x12bc,0x7e4944f6,0x7e4988a5,0x7e4988ef,0x7e4988fc,0x0,0x0,0x7e498914,0x7e498922,2118730998,2118748325,2118748399,2118748412,2118748436,2118748450,0,0,17.327,13,14
2026-02-01T22:07:34.518766Z,0x67e8,0x7e59b857,0x7e5a2faa,0x7e5a2fda,0x7e5a2fe6,0x0,0x0,0x7e5a2ffd,0x7e5a300b,2119809111,2119839658,2119839706,2119839718,2119839741,2119839755,0,0,30.547,12,14
2026-02-01T22:07:35.476792Z,0x478f,0x7e6a65b4,0x7e6aeae0,0x7e6aeae3,0x7e6aeaec,0x0,0x0,0x7e6aeb03,0x7e6aeb0c,2120902068,2120936160,2120936163,2120936172,2120936195,2120936204,0,0,34.092,9,9
2026-02-01T22:07:36.443152Z,0x5ef9,0x7e7b1f51,0x7e7b6bc7,0x7e7b6c0c,0x7e7b6c16,0x0,0x0,0x7e7b6c2b,0x7e7b6c37,2121998161,2122017735,2122017804,2122017814,2122017835,2122017847,0,0,19.574,10,12
2026-02-01T22:07:38.063171Z,0x13b9,0x7e8ba981,0x7e8bde12,0x7e8bde5b,0x7e8bde66,0x0,0x0,0x7e8bde7a,0x7e8bde86,2123082113,2123095570,2123095643,2123095654,2123095674,2123095686,0,0,13.457,11,12
2026-02-01T22:07:39.026283Z,0x5e52,0x7e9c1500,0x7e9c4667,0x7e9c46b0,0x7e9c46bb,0x0,0x0,0x7e9c46cf,0x7e9c46dd,2124158208,2124170855,2124170928,2124170939,2124170959,2124170973,0,0,12.647,11,14
2026-02-01T22:07:39.980128Z,0x159a,0x7eac70a4,0x7eacbe21,0x7eacbe6a,0x7eacbe74,0x0,0x0,0x7eacbe87,0x7eacbe90,2125230244,2125250081,2125250154,2125250164,2125250183,2125250192,0,0,19.837,10,9
2026-02-01T22:07:40.939752Z,0x7c9d,0x7ebcef55,0x7ebd39b6,0x7ebd39fe,0x7ebd3a06,0x0,0x0,0x7ebd3a1a,0x7ebd3a22,2126311253,2126330294,2126330366,2126330374,2126330394,2126330402,0,0,19.041,8,8
2026-02-01T22:07:41.897996Z,0x6ebc,0x7ecd6e4f,0x7ecda791,0x7ecda7da,0x7ecda7e2,0x0,0x0,0x7ecda7f6,0x7ecda801,2127392335,2127406993,2127407066,2127407074,2127407094,2127407105,0,0,14.658,8,11
