timestamp,"
  flow_id_hex",pipeline_0_1,pipeline_0_8,pipeline_1_start,pipeline_1_end,pipeline_3_start,pipeline_3_end,pipeline_2_start,pipeline_2_end,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_2
2026-02-01T22:50:24.031274Z,0x1bb5,0x17831644,0x178514d9,0x17851506,0x1785152c,0x0,0x0,0x17851552,0x1785156a,394466884,394597593,394597638,394597676,394597714,394597738,0,0,130.709,38,24
2026-02-01T22:50:25.645343Z,0x7602,0x17953e86,0x1797eb98,0x1797ebe3,0x1797ebf5,0x0,0x0,0x1797ec17,0x1797ec28,395656838,395832216,395832291,395832309,395832343,395832360,0,0,175.378,18,17
2026-02-01T22:50:26.599907Z,0x3ed2,0x17a81639,0x17a84119,0x17a84164,0x17a8416e,0x0,0x0,0x17a8418e,0x17a8419d,396891705,396902681,396902756,396902766,396902798,396902813,0,0,10.976,10,15
2026-02-01T22:50:27.561413Z,0x5d8a,0x17b86286,0x17b88750,0x17b8879a,0x17b887a6,0x0,0x0,0x17b887c5,0x17b887d2,397959814,397969232,397969306,397969318,397969349,397969362,0,0,9.418,12,13
2026-02-01T22:50:28.519930Z,0xb06,0x17c8ba4f,0x17c8d390,0x17c8d3d9,0x17c8d3e2,0x0,0x0,0x17c8d3ff,0x17c8d40c,399030863,399037328,399037401,399037410,399037439,399037452,0,0,6.465,9,13
2026-02-01T22:50:30.059355Z,0x789e,0x17d8faae,0x17d90ffb,0x17d91045,0x17d91051,0x0,0x0,0x17d9106e,0x17d9107d,400095918,400101371,400101445,400101457,400101486,400101501,0,0,5.453,12,15
2026-02-01T22:50:31.015991Z,0x3ffe,0x17e92f3d,0x17e945e1,0x17e945f1,0x17e945fc,0x0,0x0,0x17e94617,0x17e94624,401157949,401163745,401163761,401163772,401163799,401163812,0,0,5.796,11,13
2026-02-01T22:50:31.968804Z,0x267e,0x17f98342,0x17f99a2e,0x17f99a78,0x17f99a82,0x0,0x0,0x17f99a9d,0x17f99aab,402228034,402233902,402233976,402233986,402234013,402234027,0,0,5.868,10,14
2026-02-01T22:50:32.935092Z,0x5ec8,0x1809bb77,0x1809d0e3,0x1809d12c,0x1809d137,0x0,0x0,0x1809d150,0x1809d160,403290999,403296483,403296556,403296567,403296592,403296608,0,0,5.484,11,16
2026-02-01T22:50:33.888364Z,0x745d,0x1819f012,0x181a0cc6,0x181a0d0f,0x181a0d1a,0x0,0x0,0x181a0d34,0x181a0d42,404353042,404360390,404360463,404360474,404360500,404360514,0,0,7.348,11,14
2026-02-01T22:50:35.425632Z,0x2f49,0x182a2147,0x182b5019,0x182b5062,0x182b506e,0x0,0x0,0x182b5088,0x182b5096,405414215,405491737,405491810,405491822,405491848,405491862,0,0,77.522,12,14
2026-02-01T22:50:36.386680Z,0x4560,0x183b6e86,0x183c9e00,0x183c9e1d,0x183c9e28,0x0,0x0,0x183c9e40,0x183c9e4f,406548102,406625792,406625821,406625832,406625856,406625871,0,0,77.69,11,15
2026-02-01T22:50:37.351227Z,0x1d4a,0x184cdf60,0x184cf6fd,0x184cf734,0x184cf73f,0x0,0x0,0x184cf756,0x184cf762,407691104,407697149,407697204,407697215,407697238,407697250,0,0,6.045,11,12
2026-02-01T22:50:38.304124Z,0x31f,0x185d045c,0x185d18a7,0x185d18dd,0x185d18e7,0x0,0x0,0x185d18fd,0x185d190b,408749148,408754343,408754397,408754407,408754429,408754443,0,0,5.195,10,14
2026-02-01T22:50:39.839808Z,0x392e,0x186d2953,0x186f1790,0x186f17cc,0x186f17d8,0x0,0x0,0x186f17ee,0x186f17fc,409807187,409933712,409933772,409933784,409933806,409933820,0,0,126.525,12,14
2026-02-01T22:50:40.800747Z,0x594a,0x187f3a23,0x1881b1bd,0x1881b207,0x1881b213,0x0,0x0,0x1881b229,0x1881b237,410991139,411152829,411152903,411152915,411152937,411152951,0,0,161.69,12,14
2026-02-01T22:50:41.756121Z,0x4dfc,0x1891e70a,0x18920068,0x18920070,0x1892007a,0x0,0x0,0x18920090,0x1892009d,412215050,412221544,412221552,412221562,412221584,412221597,0,0,6.494,10,13
