timestamp,flow_id_hex,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T15:19:01.491875Z,0x6864,4183153122,4183277872,4183277954,4183277991,4183278065,4183278086,124.75,37,21
2026-01-31T15:19:06.420746Z,0x56af,4188336566,4188439553,4188439622,4188439649,4188439722,4188439741,102.987,27,19
2026-01-31T15:19:12.013664Z,0x135d,4193497973,4193610580,4193610638,4193610666,4193610737,4193610756,112.607,28,19
2026-01-31T15:19:16.949946Z,0x2d96,4198666335,4198814795,4198814870,4198814896,4198814966,4198814987,148.46,26,21
2026-01-31T15:19:21.881321Z,0x3a4a,4203872657,4203962236,4203962255,4203962281,4203962350,4203962369,89.579,26,19
2026-01-31T15:19:27.480010Z,0x481,4209024162,4209134659,4209134738,4209134763,4209134831,4209134850,110.497,25,19
2026-01-31T15:19:32.422862Z,0x4075,4214195470,4214311063,4214311114,4214311139,4214311205,4214311224,115.593,25,19
2026-01-31T15:19:37.363168Z,0x7ebe,4219367882,4219471562,4219471637,4219471662,4219471726,4219471744,103.68,25,18
2026-01-31T15:19:42.957832Z,0x6962,4224529207,4224607998,4224608074,4224608099,4224608165,4224608185,78.791,25,20
2026-01-31T15:19:47.898863Z,0x57a9,4229669623,4229798971,4229799028,4229799048,4229799111,4229799124,129.348,20,13
2026-01-31T15:19:52.830026Z,0x125b,4234855979,4234970470,4234970487,4234970500,4234970561,4234970573,114.491,13,12
2026-01-31T15:19:58.420533Z,0x2c90,4240032477,4240288143,4240288216,4240288232,4240288294,4240288304,255.666,16,10
2026-01-31T15:20:03.354625Z,0x3b4c,4245346708,4245471407,4245471479,4245471495,4245471556,4245471567,124.699,16,11
2026-01-31T15:20:08.945325Z,0x587,4250530098,4250661148,4250661166,4250661179,4250661240,4250661250,131.05,13,10
2026-01-31T15:20:13.876019Z,0x12d8,4255723420,4255801134,4255801208,4255801222,4255801282,4255801295,77.714,14,13
2026-01-31T15:20:18.814580Z,0x2c13,4260860905,4260957243,4260957296,4260957310,4260957368,4260957380,96.338,14,12
2026-01-31T15:20:25.075861Z,0x1f9c,4266017315,4266954402,4266954407,4266954423,4266954481,4266954495,937.087,16,14
2026-01-31T15:20:37.292099Z,0x3487,4278725905,4279158180,4279158253,4279158273,4279158332,4279158347,432.275,20,15
2026-01-31T15:20:42.905034Z,0x7256,4284219062,4284766701,4284766774,4284766790,4284766848,4284766863,547.639,16,15
2026-01-31T15:21:02.697249Z,0x1e5,6976925,9478935,9479008,9479024,9479083,9479096,2502.01,16,13
2026-01-31T15:21:09.623106Z,0x6d42,14539207,16755258,16755332,16755350,0,0,2216.051,18,0
2026-01-31T15:21:17.204855Z,0x7a74,21815687,24047474,24047543,24047560,24047617,24047631,2231.787,17,14
2026-01-31T15:21:22.793881Z,0x4455,29106298,29478837,29478911,29478927,29478984,29478999,372.539,16,15
2026-01-31T15:21:28.388753Z,0x5363,34538389,35335058,35335112,35335127,35335184,35335199,796.669,15,15
2026-01-31T15:21:35.971308Z,0x3f6c,40394187,43132357,43132432,43132450,0,0,2738.17,18,0
2026-01-31T15:21:41.559619Z,0x285a,48192201,48213059,48213112,48213129,48213184,48213200,20.858,17,16
2026-01-31T15:21:49.130810Z,0x17be,53273654,55828111,55828185,55828201,55828256,55828270,2554.457,16,14
2026-01-31T15:21:56.698306Z,0x88,60883883,63499228,63499253,63499268,63499322,63499335,2615.345,15,13
2026-01-31T15:22:01.648878Z,0x3fef,68558109,68699712,68699767,68699782,68699836,68699851,141.603,15,15
2026-01-31T15:22:06.580086Z,0x28d9,73757389,73768267,73768342,73768356,73768411,73768424,10.878,14,13
2026-01-31T15:22:12.175949Z,0x37d4,78823964,79279574,79279610,79279626,79279680,79279695,455.61,16,15
2026-01-31T15:22:18.358333Z,0x3eb8,84338010,85023864,85023885,85023901,85023955,85023968,685.854,16,13
2026-01-31T15:22:23.866486Z,0x4ced,90082849,90514725,90514768,90514784,90514838,90514853,431.876,16,15
2026-01-31T15:22:29.455865Z,0x4581,95573024,96400374,96400449,96400464,96400518,96400531,827.35,15,13
2026-01-31T15:22:35.042593Z,0x65fa,101459768,101832472,101832484,101832498,101832552,101832564,372.704,14,12
2026-01-31T15:22:40.664878Z,0x6c96,106893869,107754927,107754955,107754973,107755027,107755041,861.058,18,14
2026-01-31T15:22:46.272020Z,0x1fc5,112818736,113154524,113154597,113154610,113154664,113154676,335.788,13,12
2026-01-31T15:22:51.872512Z,0x16a9,118214816,118881139,118881176,118881190,118881244,118881254,666.323,14,10
2026-01-31T15:22:57.385775Z,0x36d2,123938696,124033556,124033566,124033582,124033636,124033650,94.86,16,14
2026-01-31T15:23:02.317812Z,0x3fbe,129092087,129190466,129190477,129190490,129190544,129190558,98.379,13,14
2026-01-31T15:23:07.246603Z,0x4deb,134248569,134248718,134248788,134248807,134248862,134248877,0.149,19,15
2026-01-31T15:23:13.497863Z,0x4487,139307005,140350298,140350316,140350334,140350388,140350402,1043.293,18,14
2026-01-31T15:23:19.755005Z,0x7b63,145415564,146937005,146937078,146937094,146937148,146937163,1521.441,16,15
2026-01-31T15:23:26.662279Z,0x720f,151995737,153544840,153544853,153544869,153544923,153544938,1549.103,16,15
2026-01-31T15:23:32.257003Z,0x4d68,158603803,159126538,159126611,159126626,159126680,159126694,522.735,15,14
2026-01-31T15:23:37.842871Z,0x4404,164183866,164668115,164668188,164668204,164668258,164668271,484.249,16,13
2026-01-31T15:23:43.427297Z,0x647f,169723899,170103939,170104012,170104028,170104082,170104097,380.04,16,15
2026-01-31T15:23:48.954891Z,0x6d13,175160135,175595493,175595565,175595581,175595635,175595646,435.358,16,11
2026-01-31T15:23:53.883694Z,0x1f46,180653264,180855463,180855527,180855544,180855598,180855611,202.199,17,13
2026-01-31T15:23:59.479805Z,0x162a,185913533,186309028,186309101,186309117,186309170,186309180,395.495,16,10
2026-01-31T15:24:04.405406Z,0x64,191366636,191366885,191366952,191366967,191367021,191367033,0.249,15,12
2026-01-31T15:24:09.335314Z,0x4f96,196424175,196520991,196521016,196521030,196521084,196521097,96.816,14,13
2026-01-31T15:24:14.935688Z,0x553d,201577571,201972795,201972822,201972837,201972891,201972902,395.224,15,11
2026-01-31T15:24:26.407579Z,0x7c2a,212982359,213086303,213086377,213086393,213086447,213086458,103.944,16,11
2026-01-31T15:24:32.003490Z,0x33d8,218143800,218767116,218767151,218767167,218767221,218767231,623.316,16,10
2026-01-31T15:24:40.901364Z,0x5e12,223822793,227920812,227920849,227920867,227920922,227920937,4098.019,18,15
2026-01-31T15:24:47.829349Z,0x11e0,232979613,234726225,234726297,234726314,234726369,234726383,1746.612,17,14
2026-01-31T15:24:55.997000Z,0x7705,239784489,242665268,242665340,242665356,242665409,242665423,2880.779,16,14
2026-01-31T15:25:12.865408Z,0x5e91,254935357,259630162,259630236,259630253,259630308,259630321,4694.805,17,13
2026-01-31T15:25:22.439612Z,0x1163,264696384,269417741,269417813,269417830,269417884,269417894,4721.357,17,10
2026-01-31T15:25:28.623079Z,0x7786,274473670,275307628,275307701,275307717,275307771,275307784,833.958,16,13
2026-01-31T15:25:34.872008Z,0x3874,280367345,281604936,281604946,281604962,281605016,281605027,1237.591,16,11
2026-01-31T15:25:39.796164Z,0x55be,286661768,286762131,286762186,286762202,286762256,286762270,100.363,16,14
2026-01-31T15:25:45.306605Z,0x1a4c,291820149,291916089,291916112,291916126,291916180,291916189,95.94,14,9
2026-01-31T15:25:54.217034Z,0x7ca9,296976571,301084133,301084206,301084227,301084281,301084295,4107.562,21,14
2026-01-31T15:26:03.788039Z,0x335b,306145355,310599114,310599186,310599201,310599255,310599265,4453.759,15,10
2026-01-31T15:26:08.719398Z,0x696,315659906,315707506,315707511,315707525,315707578,315707589,47.6,14,11
2026-01-31T15:26:14.309256Z,0x4964,320765377,321074284,321074356,321074370,321074423,321074438,308.907,14,15
2026-01-31T15:26:19.248069Z,0x2f81,326129624,326409363,326409435,326409449,326409502,326409514,279.739,14,12
2026-01-31T15:26:25.503695Z,0x6073,331464888,332113334,332113406,332113419,332113473,332113483,648.446,13,10
2026-01-31T15:26:30.437914Z,0xdb9,337171732,337600090,337600148,337600164,337600217,337600229,428.358,16,12
2026-01-31T15:26:41.989976Z,0x7daf,348750486,348877181,348877253,348877270,348877324,348877338,126.695,17,14
2026-01-31T15:26:46.935673Z,0x325d,353932792,354113298,354113371,354113388,354113441,354113455,180.506,17,14
2026-01-31T15:26:52.533397Z,0x4311,359168201,359567138,359567167,359567185,359567239,359567253,398.937,18,14
2026-01-31T15:27:06.664996Z,0x3d68,371084554,373294288,373294313,373294334,373294388,373294405,2209.734,21,17
2026-01-31T15:27:13.592763Z,0x7cf5,378349329,380728839,380728905,380728923,380728977,380728991,2379.51,18,14
2026-01-31T15:27:19.192787Z,0x113f,385786445,386178970,386179042,386179058,386179111,386179124,392.525,16,13
2026-01-31T15:27:24.791889Z,0x50a2,391232579,391665332,391665405,391665429,391665485,391665504,432.753,24,19
2026-01-31T15:27:31.714184Z,0x3828,396719664,398527449,398527522,398527548,398527603,398527624,1807.785,26,21
2026-01-31T15:27:38.632483Z,0x79b5,403584653,405386328,405386377,405386402,405386457,405386476,1801.675,25,19
2026-01-31T15:27:43.564785Z,0x13b0,410441436,410496513,410496552,410496576,410496631,410496650,55.077,24,19
2026-01-31T15:27:49.086491Z,0x522d,415550870,415742450,415742523,415742548,415742603,415742623,191.58,25,20
2026-01-31T15:27:54.039154Z,0x3aa7,420796288,421022074,421022147,421022173,421022228,421022247,225.786,26,19
2026-01-31T15:27:59.628284Z,0x7b3a,426076526,426388554,426388582,426388602,426388656,426388670,312.028,20,14
2026-01-31T15:28:05.213173Z,0x16f0,431442747,432270606,432270627,432270641,432270695,432270707,827.859,14,12
2026-01-31T15:28:11.466666Z,0x576d,437327571,438237571,438237642,438237656,438237709,438237723,910.0,14,14
2026-01-31T15:28:17.060228Z,0x6889,443293303,443677071,443677090,443677105,443677158,443677169,383.768,15,11
2026-01-31T15:28:27.290629Z,0x411d,454218469,454316778,454316805,454316821,454316875,454316889,98.309,16,14
2026-01-31T15:28:32.877426Z,0x80,459370924,459505851,459505922,459505934,459505988,459506001,134.927,12,13
2026-01-31T15:28:37.807578Z,0x680a,464564339,464966905,464966977,464966991,464967045,464967060,402.566,14,15
2026-01-31T15:28:43.410441Z,0x2997,470034386,470461366,470461438,470461450,470461503,470461515,426.98,12,12
2026-01-31T15:28:49.014108Z,0x1333,475513529,475795000,475795071,475795085,475795138,475795151,281.471,14,13
2026-01-31T15:28:54.542938Z,0x52ae,480848764,481158673,481158745,481158760,481158814,481158827,309.909,15,13
2026-01-31T15:28:59.474259Z,0x6d4a,486215004,486299558,486299590,486299605,486299657,486299670,84.554,15,13
2026-01-31T15:29:04.409020Z,0x2cd7,491353355,491494135,491494178,491494192,491494245,491494258,140.78,14,13
2026-01-31T15:29:09.996731Z,0x401b,496550758,496845375,496845447,496845462,496845516,496845530,294.617,15,14
2026-01-31T15:29:15.604946Z,0x186,501899970,502274325,502274345,502274358,502274412,502274426,374.355,13,14
2026-01-31T15:29:20.537403Z,0x690c,507329263,507533968,507534040,507534054,507534108,507534120,204.705,14,12
2026-01-31T15:29:26.138558Z,0x2891,512591516,512879198,512879270,512879285,512879339,512879350,287.682,15,11
2026-01-31T15:29:31.060734Z,0x1235,517938702,518134688,518134704,518134717,518134770,518134782,195.986,13,12
2026-01-31T15:29:36.652697Z,0x53a8,523189043,523404578,523404649,523404662,523404715,523404729,215.535,13,14
2026-01-31T15:29:41.576424Z,0x3b22,528458364,528554005,528554033,528554047,528554101,528554113,95.641,14,12
2026-01-31T15:29:47.087352Z,0x7abf,533607737,533751207,533751266,533751279,533751333,533751345,143.47,13,12
2026-01-31T15:29:54.007332Z,0x1245,538804178,540719824,540719897,540719915,540719968,540719983,1915.646,18,15
2026-01-31T15:30:01.586777Z,0x6a36,545773912,548770094,548770165,548770181,548770235,548770250,2996.182,16,15
2026-01-31T15:30:07.854486Z,0x3dfa,553827837,554471202,554471209,554471225,554471279,554471293,643.365,16,14
2026-01-31T15:30:13.447262Z,0x64c7,559526682,560520795,560520866,560520880,560520934,560520946,994.113,14,12
2026-01-31T15:30:19.626417Z,0x46c3,565577333,566263699,566263767,566263783,566263836,566263850,686.366,16,14
2026-01-31T15:30:25.228421Z,0x1ffe,571319243,572137300,572137372,572137387,572137441,572137455,818.057,15,14
2026-01-31T15:30:30.166886Z,0x6fd4,577190921,577319386,577319437,577319453,577319507,577319521,128.465,16,14
2026-01-31T15:30:35.755439Z,0x36e9,582372329,582478575,582478646,582478659,582478712,582478727,106.246,13,15
2026-01-31T15:30:41.264917Z,0x11f3,587533729,587941099,587941168,587941183,587941236,587941252,407.37,15,16
2026-01-31T15:30:46.859777Z,0x48ce,592992871,593742635,593742705,593742721,593742774,593742788,749.764,16,14
2026-01-31T15:30:51.786101Z,0x38e4,598796693,598922676,598922747,598922763,598922817,598922828,125.983,16,11
2026-01-31T15:30:57.396558Z,0x61d9,603977057,604098845,604098876,604098891,604098945,604098956,121.788,15,11
2026-01-31T15:31:02.991195Z,0x43dd,609155441,609675508,609675534,609675546,609675600,609675614,520.067,12,14
2026-01-31T15:31:08.576072Z,0x1ae0,614728482,615290242,615290313,615290327,615290381,615290395,561.76,14,14
2026-01-31T15:31:13.516267Z,0x6aca,620345505,620600788,620600827,620600842,620600896,620600908,255.283,15,12
2026-01-31T15:31:19.113206Z,0x33f7,625654747,625957486,625957558,625957572,625957626,625957638,302.739,14,12
2026-01-31T15:31:24.045838Z,0x435e,631014015,631135427,631135478,631135491,631135544,631135553,121.412,13,9
2026-01-31T15:31:29.647758Z,0x1a63,636188370,636300689,636300758,636300768,636300821,636300831,112.319,10,10
2026-01-31T15:31:35.233811Z,0x6a49,641357730,641959224,641959282,641959294,641959348,641959366,601.494,12,18
2026-01-31T15:31:40.831066Z,0x3374,647014729,647638131,647638202,647638213,647638267,647638276,623.402,11,9
2026-01-31T15:31:46.432614Z,0x1170,652692686,653351189,653351260,653351273,653351327,653351339,658.503,13,12
2026-01-31T15:31:52.030110Z,0x484d,658403548,659118576,659118647,659118662,659118716,659118728,715.028,15,12
2026-01-31T15:31:57.623604Z,0x3867,664171455,664305407,664305426,664305442,664305496,664305507,133.952,16,11
2026-01-31T15:32:02.559159Z,0x615a,669358811,669490753,669490824,669490836,669490889,669490898,131.942,12,9
2026-01-31T15:32:08.146289Z,0x4258,674548200,675037605,675037675,675037690,675037744,675037757,489.405,15,13
2026-01-31T15:32:13.739695Z,0x1b65,680091278,680704201,680704224,680704239,680704293,680704305,612.923,15,12
2026-01-31T15:32:19.327294Z,0x6b4f,685758222,685999228,685999299,685999313,685999373,685999387,241.006,14,14
2026-01-31T15:32:24.271798Z,0x3272,691053517,691312441,691312512,691312526,691312580,691312592,258.924,14,12
2026-01-31T15:32:29.874086Z,0x1076,696366754,696583172,696583243,696583256,696583309,696583320,216.418,13,11
2026-01-31T15:32:34.798198Z,0x494b,701635109,701836716,701836787,701836800,701836854,701836866,201.607,13,12
2026-01-31T15:32:40.389073Z,0x3961,706891439,707272073,707272116,707272133,707272188,707272202,380.634,17,14
2026-01-31T15:32:45.977287Z,0x605c,712325547,712738232,712738247,712738261,712738314,712738326,412.685,14,12
