timestamp,flow_id_hex,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T14:56:22.665656Z,0x568f,2824166470,2824517729,2824517776,2824517815,2824517891,2824517915,351.259,39,24
2026-01-31T14:56:28.257632Z,0x6241,2829575638,2829943033,2829943109,2829943129,2829943201,2829943217,367.395,20,16
2026-01-31T14:56:33.851801Z,0x7f98,2834999837,2835511913,2835511988,2835512006,2835512076,2835512094,512.076,18,18
2026-01-31T14:56:39.448825Z,0x4b56,2840568843,2841104965,2841105021,2841105035,2841105104,2841105120,536.122,14,16
2026-01-31T14:56:44.376949Z,0x4a1,2846162842,2846443071,2846443106,2846443119,2846443186,2846443204,280.229,13,18
2026-01-31T14:56:49.972533Z,0x306f,2851511076,2852035734,2852035800,2852035815,2852035880,2852035895,524.658,15,15
2026-01-31T14:56:55.559154Z,0x2db6,2857097118,2857421951,2857421968,2857421983,2857422048,2857422063,324.833,15,15
2026-01-31T14:57:01.149504Z,0x1978,2862482415,2862857566,2862857622,2862857638,2862857702,2862857715,375.151,16,13
2026-01-31T14:57:06.078748Z,0x62e,2867922457,2868190438,2868190510,2868190525,2868190590,2868190605,267.981,15,15
2026-01-31T14:57:11.681072Z,0x32e0,2873249723,2873588920,2873588930,2873588943,2873589006,2873589019,339.197,13,13
2026-01-31T14:57:17.270210Z,0x1537,2878647977,2879028057,2879028132,2879028147,2879028211,2879028226,380.08,15,15
2026-01-31T14:57:22.203487Z,0xfc1,2884088145,2884322773,2884322797,2884322811,2884322875,2884322889,234.628,14,14
2026-01-31T14:57:27.799260Z,0x6e0e,2889382472,2889811488,2889811546,2889811560,2889811624,2889811637,429.016,14,13
2026-01-31T14:57:33.392502Z,0x74f8,2894869601,2895278408,2895278465,2895278481,2895278544,2895278558,408.807,16,14
2026-01-31T14:57:38.988145Z,0x4719,2900335672,2900763753,2900763827,2900763844,2900763906,2900763920,428.081,17,14
2026-01-31T14:57:44.580797Z,0x5def,2905819779,2906241215,2906241228,2906241242,2906241303,2906241315,421.436,14,12
2026-01-31T14:57:49.505590Z,0x6e8d,2911299862,2911604741,2911604814,2911604827,2911604889,2911604901,304.879,13,12
2026-01-31T14:57:55.099066Z,0x747b,2916664084,2917066035,2917066065,2917066077,2917066137,2917066147,401.951,12,10
2026-01-31T14:58:00.689087Z,0x479a,2922120335,2922355837,2922355863,2922355879,2922355938,2922355952,235.502,16,14
2026-01-31T14:58:05.624316Z,0x5d6c,2927410498,2927540907,2927540923,2927540939,2927540998,2927541013,130.409,16,15
2026-01-31T14:58:11.214107Z,0x3ca3,2932597955,2932817358,2932817431,2932817448,2932817507,2932817521,219.403,17,14
2026-01-31T14:58:16.144238Z,0x2655,2937871184,2938048673,2938048720,2938048732,2938048790,2938048803,177.489,12,13
2026-01-31T14:58:21.749373Z,0x15b4,2943102599,2943369205,2943369278,2943369290,2943369349,2943369363,266.606,12,14
2026-01-31T14:58:26.681249Z,0xf42,2948429858,2948569805,2948569877,2948569891,2948569950,2948569963,139.947,14,13
2026-01-31T14:58:32.290980Z,0x6f8b,2953628315,2954092541,2954092615,2954092631,2954092689,2954092705,464.226,16,16
2026-01-31T14:58:37.887653Z,0x757d,2959147303,2959545139,2959545204,2959545220,2959545277,2959545292,397.836,16,15
