timestamp,flow_id_hex,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T08:44:25.399597Z,0x41e6,3289539833,3289641935,3289642016,3289642053,3289642126,3289642148,102.102,37,22
2026-01-31T08:44:30.918571Z,0x28be,3294714287,3294769517,3294769553,3294769570,3294769642,3294769659,55.23,17,17
2026-01-31T08:44:35.844910Z,0x6872,3299829701,3300034722,3300034796,3300034813,3300034883,3300034898,205.021,17,15
2026-01-31T08:44:41.440188Z,0x12a,3305089984,3305289309,3305289313,3305289327,3305289396,3305289408,199.325,14,12
2026-01-31T08:44:48.280032Z,0x4165,3310347293,3312139141,3312139216,3312139229,3312139297,3312139310,1791.848,13,13
2026-01-31T08:44:54.539427Z,0x283d,3317195177,3318823136,3318823210,3318823223,3318823289,3318823300,1627.959,13,11
2026-01-31T08:45:00.129278Z,0x3a5c,3323878294,3323969033,3323969107,3323969120,3323969185,3323969197,90.739,13,12
2026-01-31T08:45:05.056626Z,0x5304,3329025664,3329041819,3329041893,3329041910,3329041973,3329041986,16.155,17,13
2026-01-31T08:45:10.000657Z,0x4a6c,3334096130,3334282736,3334282809,3334282823,3334282886,3334282900,186.606,14,14
2026-01-31T08:45:15.519287Z,0x499b,3339341540,3339389351,3339389421,3339389435,3339389498,3339389510,47.811,14,12
2026-01-31T08:45:26.423915Z,0x33a4,3350188817,3350513718,3350513734,3350513754,3350513816,3350513835,324.901,20,19
2026-01-31T08:45:32.020330Z,0x1944,3355568055,3355906498,3355906562,3355906577,3355906639,3355906651,338.443,15,12
2026-01-31T08:45:36.954617Z,0x1ab3,3360961219,3361043325,3361043401,3361043418,3361043478,3361043491,82.106,17,13
2026-01-31T08:45:42.475875Z,0x627d,3366099630,3366354299,3366354372,3366354388,3366354448,3366354461,254.669,16,13
2026-01-31T08:45:47.402607Z,0x618a,3371407967,3371426021,3371426097,3371426110,3371426171,3371426183,18.054,13,12
2026-01-31T08:45:52.332550Z,0x4b6a,3376484464,3376590707,3376590781,3376590793,3376590853,3376590866,106.243,12,13
2026-01-31T08:45:57.937424Z,0x489d,3381646844,3381769392,3381769424,3381769437,3381769498,3381769508,122.548,13,10
2026-01-31T08:46:03.532490Z,0x62fe,3386823243,3387797133,3387797147,3387797161,3387797222,3387797235,973.89,14,13
2026-01-31T08:46:09.035317Z,0x6109,3392851871,3392933827,3392933834,3392933850,3392933911,3392933922,81.956,16,11
2026-01-31T08:46:13.965190Z,0x4be9,3397989272,3398086312,3398086385,3398086398,3398086458,3398086468,97.04,13,10
2026-01-31T08:46:18.904458Z,0x481e,3403144657,3403178708,3403178781,3403178794,3403178855,3403178864,34.051,13,9
2026-01-31T08:46:24.491874Z,0x30d0,3408233190,3408334946,3408335007,3408335023,3408335084,3408335097,101.756,16,13
2026-01-31T08:46:29.421466Z,0x3327,3413393551,3413417410,3413417484,3413417497,3413417557,3413417571,23.859,13,14
2026-01-31T08:46:34.350376Z,0x19c7,3418472008,3418660551,3418660611,3418660624,3418660684,3418660696,188.543,13,12
2026-01-31T08:46:39.940513Z,0x1a30,3423717398,3423782469,3423782542,3423782553,3423782612,3423782623,65.071,11,11
2026-01-31T08:46:44.863352Z,0x325f,3428837817,3428933527,3428933562,3428933573,3428933631,3428933643,95.71,11,12
2026-01-31T08:46:49.793663Z,0x31a8,3433993252,3434017340,3434017413,3434017427,3434017486,3434017498,24.088,14,12
2026-01-31T08:46:56.052418Z,0x661,3439072691,3440044749,3440044823,3440044836,3440044894,3440044906,972.058,13,12
2026-01-31T08:47:01.655735Z,0x596,3445099322,3446015441,3446015503,3446015516,3446015575,3446015586,916.119,13,11
2026-01-31T08:47:07.245927Z,0x6071,3451073032,3451223512,3451223585,3451223598,3451223655,3451223666,150.48,13,11
2026-01-31T08:47:12.186388Z,0x6386,3456279401,3456330242,3456330311,3456330322,3456330380,3456330391,50.841,11,11
2026-01-31T08:47:17.120876Z,0x4966,3461389864,3461476478,3461476552,3461476564,3461476621,3461476633,86.614,12,12
2026-01-31T08:47:22.705792Z,0x4a91,3466531266,3466609577,3466609649,3466609660,3466609717,3466609727,78.311,11,10
2026-01-31T08:47:28.972564Z,0x60f2,3471663736,3472818462,3472818536,3472818551,3472818608,3472818622,1154.726,15,14
2026-01-31T08:47:33.907919Z,0x6305,3477875149,3477891162,3477891213,3477891225,3477891283,3477891295,16.013,12,12
2026-01-31T08:47:38.849294Z,0x49e5,3482944659,3483045826,3483045899,3483045912,3483045969,3483045982,101.167,13,13
2026-01-31T08:47:43.784990Z,0x4a12,3488106130,3488154236,3488154310,3488154324,3488154380,3488154390,48.106,14,10
2026-01-31T08:47:49.372010Z,0x32dc,3493213506,3493500021,3493500030,3493500044,3493500101,3493500111,286.515,14,10
2026-01-31T08:47:54.313242Z,0x312b,3498557758,3498627892,3498627966,3498627977,3498628034,3498628043,70.134,11,9
2026-01-31T08:47:59.907786Z,0x1bcb,3503684219,3504012736,3504012810,3504012824,3504012880,3504012890,328.517,14,10
